id_da,tipo_tributo,id_contribuinte,competencia_origem,data_inscricao,valor_principal,juros,multa,valor_total,valor_recuperado,fase,situacao
92,ISS,359.0,2022-01,2022-04-01,2180.5,310.22,436.1,2926.82,0.0,Administrativa,Em aberto
93,ISS,1131.0,2024-05,2024-07-30,2182.02,373.96,436.4,2992.39,0.0,Administrativa,Em aberto
94,ISS,1738.0,2023-02,2023-05-02,518.06,130.92,103.61,752.6,55.17,Administrativa,Parcelado
95,ISS,692.0,2023-07,2023-09-29,6053.0,937.72,1210.6,8201.32,0.0,Judicial,Em aberto
96,ISS,92.0,2023-06,2023-08-30,7265.23,787.86,1453.05,9506.14,566.33,Administrativa,Parcelado
97,ISS,637.0,2022-04,2022-06-30,541.54,91.87,108.31,741.72,0.0,Administrativa,Em aberto
98,ISS,837.0,2022-06,2022-08-30,2095.54,604.31,419.11,3118.95,0.0,Judicial,Em aberto
99,ISS,539.0,2023-03,2023-05-30,1624.82,355.55,324.96,2305.33,0.0,Administrativa,Em aberto
100,ISS,653.0,2024-08,2024-10-30,2069.94,373.7,413.99,2857.63,0.0,Judicial,Em aberto
101,ISS,576.0,2023-03,2023-05-30,1191.9,309.21,238.38,1739.49,0.0,Administrativa,Em aberto
102,ISS,653.0,2024-10,2024-12-30,3113.8,869.94,622.76,4606.5,0.0,Judicial,Em aberto
103,ISS,210.0,2022-12,2023-03-01,769.61,89.22,153.92,1012.75,0.0,Judicial,Em aberto
104,ISS,285.0,2024-12,2025-03-01,1142.6,315.23,228.52,1686.35,45.82,Judicial,Parcelado
105,ISS,400.0,2024-09,2024-11-30,1008.55,273.24,201.71,1483.5,0.0,Administrativa,Em aberto
106,ISS,1669.0,2023-01,2023-04-01,7653.91,1256.07,1530.78,10440.76,0.0,Administrativa,Em aberto
107,ISS,1379.0,2024-06,2024-08-30,528.37,74.8,105.67,708.85,26.26,Judicial,Parcelado
108,ISS,893.0,2024-08,2024-10-30,2060.63,265.61,412.13,2738.37,0.0,Judicial,Em aberto
109,ISS,1514.0,2022-12,2023-03-01,4371.66,346.79,874.33,5592.79,1481.13,Administrativa,Parcelado
110,ISS,340.0,2022-12,2023-03-01,4405.28,677.73,881.06,5964.07,0.0,Judicial,Em aberto
111,ISS,523.0,2022-06,2022-08-30,4515.8,645.87,903.16,6064.83,0.0,Judicial,Em aberto
112,ISS,97.0,2022-05,2022-07-30,3887.22,742.93,777.44,5407.59,547.97,Administrativa,Parcelado
113,ISS,1702.0,2024-03,2024-05-30,829.18,61.64,165.84,1056.65,0.0,Administrativa,Em aberto
114,ISS,507.0,2024-11,2025-01-30,945.92,242.2,189.18,1377.3,0.0,Administrativa,Em aberto
115,ISS,586.0,2024-07,2024-09-29,691.93,172.77,138.39,1003.09,0.0,Judicial,Em aberto
116,ISS,893.0,2024-10,2024-12-30,2130.58,203.77,426.12,2760.47,563.01,Judicial,Parcelado
117,ISS,1062.0,2022-09,2022-11-30,3425.89,213.8,685.18,4324.87,160.15,Administrativa,Parcelado
118,ISS,1966.0,2022-08,2022-10-30,815.7,232.0,163.14,1210.84,0.0,Administrativa,Em aberto
119,ISS,586.0,2023-04,2023-06-30,643.82,165.29,128.76,937.88,0.0,Judicial,Em aberto
120,ISS,1785.0,2022-11,2023-01-30,1293.33,314.62,258.67,1866.62,0.0,Administrativa,Em aberto
121,ISS,486.0,2024-09,2024-11-30,1591.35,448.74,318.27,2358.36,0.0,Judicial,Em aberto
122,ISS,1599.0,2022-12,2023-03-01,4693.7,447.51,938.74,6079.95,884.69,Administrativa,Parcelado
123,ISS,1464.0,2022-12,2023-03-01,3854.57,320.86,770.91,4946.34,1248.29,Administrativa,Parcelado
124,ISS,1369.0,2022-01,2022-04-01,2962.12,449.11,592.42,4003.65,619.54,Administrativa,Parcelado
125,ISS,832.0,2024-09,2024-11-30,1085.81,316.73,217.16,1619.7,0.0,Administrativa,Em aberto
126,ISS,1630.0,2022-05,2022-07-30,972.94,101.32,194.59,1268.85,277.5,Judicial,Parcelado
127,ISS,1971.0,2023-08,2023-10-30,2362.89,502.36,472.58,3337.83,768.96,Administrativa,Parcelado
128,ISS,413.0,2024-05,2024-07-30,765.09,221.84,153.02,1139.95,140.0,Administrativa,Parcelado
129,ISS,916.0,2022-09,2022-11-30,31063.2,4832.78,6212.64,42108.62,0.0,Administrativa,Em aberto
130,ISS,1503.0,2022-02,2022-05-02,885.66,249.63,177.13,1312.42,0.0,Judicial,Em aberto
131,ISS,1871.0,2024-08,2024-10-30,1086.9,123.14,217.38,1427.42,0.0,Judicial,Em aberto
132,ISS,1296.0,2024-11,2025-01-30,4132.86,832.59,826.57,5792.02,1188.32,Judicial,Parcelado
133,ISS,58.0,2023-03,2023-05-30,929.28,154.02,185.86,1269.15,0.0,Administrativa,Em aberto
134,ISS,1062.0,2022-08,2022-10-30,2274.05,237.48,454.81,2966.34,0.0,Administrativa,Em aberto
135,ISS,271.0,2024-02,2024-05-01,53773.45,4744.0,10754.69,69272.14,0.0,Administrativa,Em aberto
136,ISS,562.0,2022-03,2022-05-30,6852.09,1720.84,1370.42,9943.34,0.0,Judicial,Em aberto
137,ISS,57.0,2022-11,2023-01-30,1398.65,196.44,279.73,1874.82,0.0,Administrativa,Em aberto
138,ISS,546.0,2024-09,2024-11-30,1719.92,146.42,343.98,2210.32,0.0,Administrativa,Em aberto
139,ISS,1101.0,2024-07,2024-09-29,2251.3,432.56,450.26,3134.12,0.0,Administrativa,Em aberto
140,ISS,1255.0,2024-03,2024-05-30,1827.54,354.8,365.51,2547.85,0.0,Judicial,Em aberto
141,ISS,704.0,2023-02,2023-05-02,897.12,72.85,179.42,1149.4,0.0,Administrativa,Em aberto
142,ISS,1787.0,2024-06,2024-08-30,1739.96,187.74,347.99,2275.7,86.64,Administrativa,Parcelado
143,ISS,1543.0,2022-01,2022-04-01,722.19,146.94,144.44,1013.57,0.0,Judicial,Em aberto
144,ISS,1931.0,2022-05,2022-07-30,688.6,160.49,137.72,986.81,176.86,Administrativa,Parcelado
145,ISS,538.0,2024-06,2024-08-30,6273.86,1007.01,1254.77,8535.64,1675.03,Judicial,Parcelado
146,ISS,404.0,2022-10,2022-12-30,4957.23,387.05,991.45,6335.72,1108.14,Administrativa,Parcelado
147,ISS,531.0,2024-04,2024-06-30,2048.44,187.36,409.69,2645.49,147.73,Judicial,Parcelado
148,ISS,636.0,2022-03,2022-05-30,1289.3,86.63,257.86,1633.79,127.31,Administrativa,Parcelado
149,ISS,1920.0,2022-10,2022-12-30,1576.74,442.57,315.35,2334.66,669.92,Administrativa,Parcelado
150,ISS,1668.0,2023-03,2023-05-30,1158.37,161.62,231.67,1551.67,405.17,Administrativa,Parcelado
151,ISS,1871.0,2022-10,2022-12-30,3384.98,895.74,677.0,4957.71,0.0,Judicial,Em aberto
152,ISS,1758.0,2022-04,2022-06-30,3694.66,232.61,738.93,4666.2,238.75,Administrativa,Parcelado
153,ISS,1106.0,2024-02,2024-05-01,500.4,33.54,100.08,634.02,0.0,Judicial,Em aberto
154,ISS,1565.0,2024-04,2024-06-30,38900.03,10648.21,7780.01,57328.25,0.0,Administrativa,Em aberto
155,ISS,1218.0,2024-05,2024-07-30,1720.62,164.55,344.12,2229.29,0.0,Judicial,Em aberto
156,ISS,375.0,2023-07,2023-09-29,4180.93,922.87,836.19,5939.98,0.0,Judicial,Em aberto
157,ISS,1312.0,2022-06,2022-08-30,914.61,59.2,182.92,1156.74,295.44,Judicial,Parcelado
158,ISS,257.0,2022-09,2022-11-30,7518.03,2145.4,1503.61,11167.04,2189.83,Administrativa,Parcelado
159,ISS,1663.0,2024-09,2024-11-30,1399.74,375.73,279.95,2055.42,0.0,Administrativa,Em aberto
160,ISS,1094.0,2022-10,2022-12-30,2960.11,586.5,592.02,4138.63,1073.84,Administrativa,Parcelado
161,ISS,1418.0,2023-04,2023-06-30,637.43,181.72,127.49,946.64,101.13,Administrativa,Parcelado
162,ISS,53.0,2023-05,2023-07-30,623.21,93.93,124.64,841.78,0.0,Judicial,Em aberto
163,ISS,1788.0,2023-08,2023-10-30,656.76,178.46,131.35,966.57,0.0,Judicial,Em aberto
164,ISS,1924.0,2022-01,2022-04-01,1724.41,420.65,344.88,2489.94,0.0,Administrativa,Em aberto
165,ISS,404.0,2023-11,2024-01-30,3242.77,220.25,648.55,4111.57,0.0,Administrativa,Em aberto
166,ISS,820.0,2023-07,2023-09-29,21367.13,1509.89,4273.43,27150.44,3641.2,Administrativa,Parcelado
167,ISS,1920.0,2024-08,2024-10-30,537.08,34.97,107.42,679.47,0.0,Administrativa,Em aberto
168,ISS,735.0,2024-05,2024-07-30,1627.09,314.73,325.42,2267.24,0.0,Judicial,Em aberto
169,ISS,245.0,2024-12,2025-03-01,21711.33,3778.62,4342.27,29832.21,0.0,Administrativa,Em aberto
170,ISS,653.0,2022-02,2022-05-02,1022.11,280.13,204.42,1506.66,0.0,Administrativa,Em aberto
171,ISS,927.0,2022-03,2022-05-30,1702.21,342.14,340.44,2384.8,0.0,Judicial,Em aberto
172,ISS,115.0,2022-05,2022-07-30,1315.84,327.53,263.17,1906.53,0.0,Judicial,Em aberto
173,ISS,1272.0,2024-02,2024-05-01,1967.26,139.78,393.45,2500.5,69.8,Administrativa,Parcelado
174,ISS,1546.0,2023-02,2023-05-02,519.07,41.52,103.81,664.41,0.0,Judicial,Em aberto
175,ISS,502.0,2023-01,2023-04-01,6214.89,938.23,1242.98,8396.1,1886.72,Administrativa,Parcelado
176,ISS,390.0,2022-10,2022-12-30,1152.76,144.48,230.55,1527.79,0.0,Administrativa,Em aberto
177,ISS,941.0,2022-08,2022-10-30,2922.12,779.45,584.42,4285.99,0.0,Judicial,Em aberto
178,ISS,406.0,2022-06,2022-08-30,2313.55,651.73,462.71,3427.99,0.0,Administrativa,Em aberto
179,ISS,729.0,2023-07,2023-09-29,1773.61,226.82,354.72,2355.15,0.0,Administrativa,Em aberto
180,ISS,616.0,2023-04,2023-06-30,736.81,75.08,147.36,959.25,0.0,Administrativa,Em aberto
181,ISS,1704.0,2023-09,2023-11-30,7709.41,1759.24,1541.88,11010.53,0.0,Judicial,Em aberto
182,ISS,796.0,2024-11,2025-01-30,1500.05,175.22,300.01,1975.28,0.0,Administrativa,Em aberto
183,ISS,1459.0,2023-04,2023-06-30,1302.95,126.45,260.59,1689.99,0.0,Administrativa,Em aberto
184,ISS,833.0,2024-08,2024-10-30,22049.89,3695.93,4409.98,30155.8,3659.73,Judicial,Parcelado
185,ISS,599.0,2023-07,2023-09-29,21017.29,5788.47,4203.46,31009.22,0.0,Administrativa,Em aberto
186,ISS,1379.0,2022-05,2022-07-30,802.6,217.57,160.52,1180.69,0.0,Judicial,Em aberto
187,ISS,27.0,2024-01,2024-03-31,7148.22,481.72,1429.64,9059.59,0.0,Administrativa,Em aberto
188,ISS,812.0,2022-08,2022-10-30,1656.11,109.86,331.22,2097.19,0.0,Administrativa,Em aberto
189,ISS,686.0,2022-12,2023-03-01,531.14,50.49,106.23,687.86,99.9,Administrativa,Parcelado
190,ISS,726.0,2024-03,2024-05-30,647.41,132.44,129.48,909.34,0.0,Judicial,Em aberto
191,ISS,99.0,2024-05,2024-07-30,2580.8,309.57,516.16,3406.53,0.0,Judicial,Em aberto
192,ISS,715.0,2022-08,2022-10-30,1189.22,91.74,237.84,1518.8,0.0,Administrativa,Em aberto
193,ISS,1432.0,2022-04,2022-06-30,674.34,179.96,134.87,989.17,0.0,Judicial,Em aberto
194,ISS,928.0,2023-10,2023-12-30,592.59,150.31,118.52,861.42,0.0,Judicial,Em aberto
195,ISS,574.0,2023-01,2023-04-01,1206.8,305.68,241.36,1753.84,0.0,Judicial,Em aberto
196,ISS,1785.0,2022-09,2022-11-30,1588.51,455.66,317.7,2361.87,149.37,Judicial,Parcelado
197,ISS,127.0,2024-12,2025-03-01,1220.26,238.68,244.05,1702.99,141.29,Administrativa,Parcelado
198,ISS,1809.0,2024-05,2024-07-30,802.22,157.56,160.44,1120.23,164.41,Administrativa,Parcelado
199,ISS,1699.0,2022-02,2022-05-02,1034.59,203.85,206.92,1445.36,231.26,Judicial,Parcelado
200,ISS,561.0,2022-06,2022-08-30,6597.42,1977.22,1319.48,9894.12,0.0,Administrativa,Em aberto
201,ISS,531.0,2022-12,2023-03-01,1867.55,126.33,373.51,2367.39,0.0,Administrativa,Em aberto
202,ISS,340.0,2024-11,2025-01-30,5446.26,1143.43,1089.25,7678.94,0.0,Judicial,Em aberto
203,ISS,1094.0,2022-11,2023-01-30,1411.56,360.66,282.31,2054.53,0.0,Judicial,Em aberto
204,ISS,64.0,2023-12,2024-02-29,1310.6,166.34,262.12,1739.06,0.0,Judicial,Em aberto
205,ISS,724.0,2022-08,2022-10-30,968.72,125.12,193.74,1287.59,0.0,Administrativa,Em aberto
206,ISS,375.0,2022-10,2022-12-30,1388.41,132.24,277.68,1798.33,0.0,Administrativa,Em aberto
207,ISS,361.0,2022-09,2022-11-30,936.48,275.2,187.3,1398.97,0.0,Administrativa,Em aberto
208,ISS,1068.0,2022-08,2022-10-30,1536.46,278.59,307.29,2122.34,0.0,Administrativa,Em aberto
209,ISS,1083.0,2023-05,2023-07-30,570.57,111.13,114.11,795.81,181.84,Administrativa,Parcelado
210,ISS,514.0,2022-03,2022-05-30,6719.8,1171.5,1343.96,9235.26,0.0,Judicial,Em aberto
211,ISS,756.0,2024-04,2024-06-30,1684.86,374.21,336.97,2396.05,0.0,Judicial,Em aberto
212,ISS,41.0,2022-07,2022-09-29,3200.44,483.1,640.09,4323.63,838.25,Administrativa,Parcelado
213,ISS,1571.0,2022-07,2022-09-29,613.72,120.9,122.74,857.36,226.78,Judicial,Parcelado
214,ISS,1483.0,2022-06,2022-08-30,3554.21,309.65,710.84,4574.7,526.06,Administrativa,Parcelado
215,ISS,682.0,2023-11,2024-01-30,882.57,68.15,176.51,1127.23,221.61,Judicial,Parcelado
216,ISS,390.0,2022-11,2023-01-30,954.22,265.0,190.84,1410.07,376.96,Administrativa,Parcelado
217,ISS,615.0,2022-08,2022-10-30,1774.04,406.6,354.81,2535.45,96.46,Administrativa,Parcelado
218,ISS,78.0,2022-05,2022-07-30,1567.96,422.29,313.59,2303.84,514.42,Judicial,Parcelado
219,ISS,1569.0,2023-05,2023-07-30,925.67,156.12,185.13,1266.92,0.0,Judicial,Em aberto
220,ISS,1563.0,2024-09,2024-11-30,3700.67,493.2,740.13,4934.01,0.0,Judicial,Em aberto
221,ISS,512.0,2023-10,2023-12-30,5742.43,1429.53,1148.49,8320.45,0.0,Administrativa,Em aberto
222,ISS,439.0,2022-09,2022-11-30,504.29,129.39,100.86,734.54,0.0,Administrativa,Em aberto
223,ISS,1285.0,2022-05,2022-07-30,707.8,118.19,141.56,967.55,0.0,Judicial,Em aberto
224,ISS,1445.0,2022-09,2022-11-30,1185.94,240.39,237.19,1663.52,0.0,Administrativa,Em aberto
225,ISS,756.0,2022-03,2022-05-30,1598.32,171.42,319.66,2089.4,0.0,Administrativa,Em aberto
226,ISS,941.0,2023-02,2023-05-02,4302.84,1164.56,860.57,6327.97,0.0,Judicial,Em aberto
227,ISS,1138.0,2024-12,2025-03-01,8511.85,1478.59,1702.37,11692.81,0.0,Administrativa,Em aberto
228,ISS,663.0,2024-04,2024-06-30,2748.26,227.57,549.65,3525.48,964.53,Administrativa,Parcelado
229,ISS,192.0,2024-08,2024-10-30,794.94,127.22,158.99,1081.15,0.0,Judicial,Em aberto
230,ISS,1243.0,2024-06,2024-08-30,1007.1,237.63,201.42,1446.15,0.0,Administrativa,Em aberto
231,ISS,1787.0,2022-06,2022-08-30,4848.94,436.32,969.79,6255.04,0.0,Judicial,Em aberto
232,ISS,324.0,2023-06,2023-08-30,1021.48,270.89,204.3,1496.67,0.0,Administrativa,Em aberto
233,ISS,1757.0,2023-12,2024-02-29,8592.69,1280.24,1718.54,11591.47,761.9,Administrativa,Parcelado
234,ISS,1993.0,2022-05,2022-07-30,1598.58,392.34,319.72,2310.64,0.0,Administrativa,Em aberto
235,ISS,280.0,2023-10,2023-12-30,708.61,147.85,141.72,998.18,0.0,Administrativa,Em aberto
236,ISS,1942.0,2022-06,2022-08-30,2193.24,217.83,438.65,2849.72,0.0,Judicial,Em aberto
237,ISS,184.0,2022-07,2022-09-29,5084.01,1122.02,1016.8,7222.83,0.0,Administrativa,Em aberto
238,ISS,1749.0,2023-07,2023-09-29,3097.3,882.27,619.46,4599.03,0.0,Judicial,Em aberto
239,ISS,1666.0,2024-05,2024-07-30,694.93,175.1,138.99,1009.02,136.46,Administrativa,Parcelado
240,ISS,1699.0,2023-12,2024-02-29,745.88,85.87,149.18,980.93,0.0,Administrativa,Em aberto
241,ISS,195.0,2022-01,2022-04-01,798.6,191.87,159.72,1150.19,223.59,Judicial,Parcelado
242,ISS,1539.0,2024-12,2025-03-01,1116.85,118.14,223.37,1458.36,360.88,Judicial,Parcelado
243,ISS,954.0,2022-05,2022-07-30,5540.72,1588.05,1108.14,8236.91,0.0,Administrativa,Em aberto
244,ISS,140.0,2022-06,2022-08-30,6854.12,1601.87,1370.82,9826.81,1237.51,Judicial,Parcelado
245,ISS,287.0,2024-06,2024-08-30,516.15,31.17,103.23,650.55,0.0,Judicial,Em aberto
246,ISS,1876.0,2022-10,2022-12-30,9264.0,2331.61,1852.8,13448.41,0.0,Administrativa,Em aberto
247,ISS,79.0,2023-06,2023-08-30,780.48,185.05,156.1,1121.63,271.36,Administrativa,Parcelado
