id_itbi,id_imovel,bairro,tipo_imovel,mes_competencia,valor_venal_iptu,valor_declarado_escritura,razao_decl_venal,base_calculo,itbi_devido,itbi_recolhido,gap_itbi,subavaliacao_detectada,ano
17,1881,Vila Bocaina,Residencial,2024-10,521315.04,479114.26,0.919,521315.04,10426.3,9582.29,844.02,0,2024
18,860,Ilha Porchat,Residencial,2022-04,706837.66,666430.02,0.943,706837.66,14136.75,13328.6,808.15,0,2022
19,11763,Glória,Residencial,2024-06,906012.53,599067.7,0.661,906012.53,18120.25,11981.35,6138.9,1,2024
20,7687,Glória,Residencial,2023-02,334565.83,304941.28,0.911,334565.83,6691.32,6098.83,592.49,0,2023
21,2710,Vila São Jorge,Industrial,2023-10,817479.71,758108.82,0.927,817479.71,16349.59,15162.18,1187.42,0,2023
22,5873,Parque Bitaru,Residencial,2024-01,499423.61,511535.78,1.024,511535.78,10230.72,10230.72,0.0,0,2024
23,5591,Porto Grande,Residencial,2024-02,332479.05,332193.58,0.999,332479.05,6649.58,6643.87,5.71,0,2024
24,7107,Alto da Boa Vista,Residencial,2022-08,873533.73,857148.35,0.981,873533.73,17470.67,17142.97,327.71,0,2022
25,1332,Jardim Rio Branco,Industrial,2023-04,246045.09,203442.74,0.827,246045.09,4920.9,4068.85,852.05,0,2023
26,5048,Ilha Porchat,Residencial,2022-09,185810.86,126604.19,0.681,185810.86,3716.22,2532.08,1184.13,1,2022
27,3754,Porto Grande,Residencial,2024-06,393398.93,432776.85,1.1,432776.85,8655.54,8655.54,0.0,0,2024
28,13681,Catiapoa,Comercial,2024-03,502115.61,571484.06,1.138,571484.06,11429.68,11429.68,0.0,0,2024
29,7082,Japuí,Comercial,2024-01,724752.28,802809.03,1.108,802809.03,16056.18,16056.18,0.0,0,2024
30,14489,Vila Margarida,Residencial,2024-04,181618.15,150286.12,0.827,181618.15,3632.36,3005.72,626.64,0,2024
31,12338,Centro,Residencial,2023-09,350858.37,273571.04,0.78,350858.37,7017.17,5471.42,1545.75,1,2023
32,9610,Vila Nova,Residencial,2024-03,1706087.42,1419020.19,0.832,1706087.42,34121.75,28380.4,5741.34,0,2024
33,10288,Cidade Nautica,Residencial,2022-03,351539.29,374613.41,1.066,374613.41,7492.27,7492.27,0.0,0,2022
34,2853,Vila Margarida,Residencial,2022-12,289228.71,239051.47,0.827,289228.71,5784.57,4781.03,1003.54,0,2022
35,8702,Catiapoa,Residencial,2023-05,353442.44,295425.54,0.836,353442.44,7068.85,5908.51,1160.34,0,2023
36,2285,Japuí,Industrial,2023-01,768862.59,679760.02,0.884,768862.59,15377.25,13595.2,1782.05,0,2023
37,3052,Porto Grande,Residencial,2023-04,419321.67,261504.28,0.624,419321.67,8386.43,5230.09,3156.35,1,2023
38,10169,Vila Nova,Residencial,2024-03,310554.66,283440.46,0.913,310554.66,6211.09,5668.81,542.28,0,2024
39,11100,Alto da Boa Vista,Comercial,2023-02,681541.85,720198.87,1.057,720198.87,14403.98,14403.98,0.0,0,2023
40,209,Vila São Jorge,Comercial,2024-12,1172447.41,1243500.83,1.061,1243500.83,24870.02,24870.02,0.0,0,2024
41,3039,Porto Grande,Residencial,2024-10,554171.11,357488.1,0.645,554171.11,11083.42,7149.76,3933.66,1,2024
42,3345,Jardim Rio Branco,Residencial,2022-04,183042.43,166261.83,0.908,183042.43,3660.85,3325.24,335.61,0,2022
43,5164,Vila Bocaina,Residencial,2024-03,959981.09,794382.94,0.827,959981.09,19199.62,15887.66,3311.96,0,2024
44,2123,Jardim Rio Branco,Comercial,2022-06,297585.99,302074.01,1.015,302074.01,6041.48,6041.48,0.0,0,2022
45,8571,Cidade Nautica,Residencial,2023-03,665575.34,544399.61,0.818,665575.34,13311.51,10887.99,2423.51,0,2023
46,1421,Vila Margarida,Comercial,2022-04,874035.96,846072.03,0.968,874035.96,17480.72,16921.44,559.28,0,2022
47,1710,Jardim Rio Branco,Residencial,2022-10,170546.5,163555.44,0.959,170546.5,3410.93,3271.11,139.82,0,2022
48,12665,Porto Grande,Residencial,2022-10,525306.87,401174.52,0.764,525306.87,10506.14,8023.49,2482.65,1,2022
49,3938,Japuí,Residencial,2023-01,546638.66,588668.61,1.077,588668.61,11773.37,11773.37,0.0,0,2023
50,4299,Porto Grande,Residencial,2024-12,402419.5,435057.81,1.081,435057.81,8701.16,8701.16,0.0,0,2024
51,9797,Japuí,Comercial,2023-08,274475.68,221870.49,0.808,274475.68,5489.51,4437.41,1052.1,0,2023
52,12322,Centro,Comercial,2024-03,772809.38,820967.88,1.062,820967.88,16419.36,16419.36,0.0,0,2024
53,5972,Jardim Rio Branco,Residencial,2023-09,333031.1,181568.11,0.545,333031.1,6660.62,3631.36,3029.26,1,2023
54,11818,Ilha Porchat,Residencial,2024-08,363221.9,326202.37,0.898,363221.9,7264.44,6524.05,740.39,0,2024
55,9746,Centro,Residencial,2023-07,370453.83,176082.85,0.475,370453.83,7409.08,3521.66,3887.42,1,2023
56,11734,Vila São Jorge,Residencial,2023-04,239433.19,199186.78,0.832,239433.19,4788.66,3983.74,804.93,0,2023
57,11385,Catiapoa,Comercial,2023-08,399130.48,371440.78,0.931,399130.48,7982.61,7428.82,553.79,0,2023
58,9340,Vila Nova,Comercial,2023-08,651036.25,746703.77,1.147,746703.77,14934.08,14934.08,0.0,0,2023
59,11365,Porto Grande,Residencial,2024-01,298150.28,274968.13,0.922,298150.28,5963.01,5499.36,463.64,0,2024
60,12247,Parque Bitaru,Comercial,2023-10,1314518.8,1090464.22,0.83,1314518.8,26290.38,21809.28,4481.09,0,2023
61,8323,Centro,Residencial,2022-08,220186.73,218671.05,0.993,220186.73,4403.73,4373.42,30.31,0,2022
62,2908,Porto Grande,Comercial,2023-08,339027.12,242132.83,0.714,339027.12,6780.54,4842.66,1937.89,1,2023
63,7788,Catiapoa,Residencial,2023-01,286552.34,303620.02,1.06,303620.02,6072.4,6072.4,0.0,0,2023
64,10605,Vila Nova,Residencial,2024-09,963735.77,1077353.93,1.118,1077353.93,21547.08,21547.08,0.0,0,2024
65,6909,Vila Nova,Residencial,2024-11,106508.28,66614.1,0.625,106508.28,2130.17,1332.28,797.88,1,2024
66,6082,Vila Nova,Residencial,2023-01,475622.95,521879.84,1.097,521879.84,10437.6,10437.6,0.0,0,2023
67,7855,Vila São Jorge,Residencial,2024-03,898313.15,729710.0,0.812,898313.15,17966.26,14594.2,3372.06,0,2024
68,10733,Glória,Comercial,2022-11,360709.2,402851.76,1.117,402851.76,8057.04,8057.04,0.0,0,2022
69,11956,Porto Grande,Residencial,2024-12,794307.94,692844.71,0.872,794307.94,15886.16,13856.89,2029.26,0,2024
70,867,Japuí,Residencial,2023-07,263027.4,222458.27,0.846,263027.4,5260.55,4449.17,811.38,0,2023
71,13569,Parque Bitaru,Residencial,2023-05,124292.59,138364.75,1.113,138364.75,2767.3,2767.3,0.0,0,2023
72,9112,Catiapoa,Residencial,2023-05,555931.11,458887.07,0.825,555931.11,11118.62,9177.74,1940.88,0,2023
73,3500,Vila São Jorge,Residencial,2024-02,326211.76,330286.72,1.012,330286.72,6605.73,6605.73,0.0,0,2024
74,11273,Glória,Comercial,2023-02,927977.86,919078.12,0.99,927977.86,18559.56,18381.56,177.99,0,2023
75,1771,Glória,Residencial,2024-10,315669.13,143628.41,0.455,315669.13,6313.38,2872.57,3440.81,1,2024
76,4356,Parque Bitaru,Comercial,2024-04,338532.05,358921.49,1.06,358921.49,7178.43,7178.43,0.0,0,2024
77,8370,Esplanada dos Barreiros,Comercial,2024-04,504625.52,461180.3,0.914,504625.52,10092.51,9223.61,868.9,0,2024
78,3416,Japuí,Comercial,2022-02,272736.36,222307.15,0.815,272736.36,5454.73,4446.14,1008.58,0,2022
79,1144,Alto da Boa Vista,Industrial,2023-04,554985.65,266322.24,0.48,554985.65,11099.71,5326.44,5773.27,1,2023
80,12958,Japuí,Residencial,2023-05,393117.76,353679.23,0.9,393117.76,7862.36,7073.58,788.77,0,2023
81,12016,Japuí,Residencial,2024-02,225313.58,151910.9,0.674,225313.58,4506.27,3038.22,1468.05,1,2024
82,14911,Porto Grande,Residencial,2024-08,323509.6,226540.02,0.7,323509.6,6470.19,4530.8,1939.39,1,2024
83,4246,Ilha Porchat,Comercial,2024-08,1088165.68,1211075.08,1.113,1211075.08,24221.5,24221.5,0.0,0,2024
84,8852,Esplanada dos Barreiros,Residencial,2022-02,399002.61,395536.26,0.991,399002.61,7980.05,7910.73,69.33,0,2022
85,10756,Esplanada dos Barreiros,Residencial,2024-11,401068.17,378382.77,0.943,401068.17,8021.36,7567.66,453.71,0,2024
86,14435,Catiapoa,Residencial,2022-07,250602.6,277641.1,1.108,277641.1,5552.82,5552.82,0.0,0,2022
87,7599,Vila São Jorge,Residencial,2023-03,405622.84,236052.8,0.582,405622.84,8112.46,4721.06,3391.4,1,2023
88,6294,Esplanada dos Barreiros,Comercial,2022-04,452199.31,437280.88,0.967,452199.31,9043.99,8745.62,298.37,0,2022
89,179,Esplanada dos Barreiros,Comercial,2023-04,480171.72,452251.01,0.942,480171.72,9603.43,9045.02,558.41,0,2023
90,4756,Ilha Porchat,Residencial,2023-10,1018251.52,1060268.29,1.041,1060268.29,21205.37,21205.37,0.0,0,2023
91,11302,Japuí,Residencial,2023-07,301744.26,315406.01,1.045,315406.01,6308.12,6308.12,0.0,0,2023
92,1116,Centro,Comercial,2022-03,975801.1,969819.29,0.994,975801.1,19516.02,19396.39,119.64,0,2022
93,14564,Vila Bocaina,Residencial,2024-03,266516.7,178155.18,0.668,266516.7,5330.33,3563.1,1767.23,1,2024
94,12825,Porto Grande,Comercial,2024-08,1447296.32,717948.72,0.496,1447296.32,28945.93,14358.97,14586.95,1,2024
95,14166,Vila Bocaina,Residencial,2023-07,423250.38,457863.26,1.082,457863.26,9157.27,9157.27,0.0,0,2023
96,8450,Esplanada dos Barreiros,Comercial,2022-06,973551.11,1033381.73,1.061,1033381.73,20667.63,20667.63,0.0,0,2022
97,13334,Jardim Rio Branco,Residencial,2022-01,399824.7,332939.96,0.833,399824.7,7996.49,6658.8,1337.69,0,2022
98,10500,Cidade Nautica,Residencial,2023-12,386740.87,388972.03,1.006,388972.03,7779.44,7779.44,0.0,0,2023
99,1138,Ilha Porchat,Residencial,2023-10,233557.13,211228.7,0.904,233557.13,4671.14,4224.57,446.57,0,2023
100,8726,Vila Margarida,Industrial,2024-09,568392.46,599278.86,1.054,599278.86,11985.58,11985.58,0.0,0,2024
101,7128,Cidade Nautica,Residencial,2023-03,551764.92,630185.33,1.142,630185.33,12603.71,12603.71,0.0,0,2023
102,8751,Vila Margarida,Comercial,2023-07,717751.89,595246.69,0.829,717751.89,14355.04,11904.93,2450.1,0,2023
103,7589,Glória,Residencial,2023-07,1142679.31,1171139.29,1.025,1171139.29,23422.79,23422.79,0.0,0,2023
104,8775,Ilha Porchat,Residencial,2024-01,562485.24,408326.67,0.726,562485.24,11249.7,8166.53,3083.17,1,2024
105,9448,Glória,Comercial,2023-09,340515.16,296997.89,0.872,340515.16,6810.3,5939.96,870.35,0,2023
106,982,Jardim Rio Branco,Comercial,2024-02,695802.32,358924.8,0.516,695802.32,13916.05,7178.5,6737.55,1,2024
107,10280,Jardim Rio Branco,Comercial,2023-01,950314.31,942316.81,0.992,950314.31,19006.29,18846.34,159.95,0,2023
108,5417,Cidade Nautica,Industrial,2022-12,369266.83,317745.48,0.86,369266.83,7385.34,6354.91,1030.43,0,2022
109,13548,Catiapoa,Residencial,2022-10,172101.2,163092.41,0.948,172101.2,3442.02,3261.85,180.18,0,2022
110,5386,Catiapoa,Residencial,2023-12,201250.88,188424.73,0.936,201250.88,4025.02,3768.49,256.52,0,2023
111,7009,Catiapoa,Residencial,2022-05,372791.05,360062.0,0.966,372791.05,7455.82,7201.24,254.58,0,2022
112,9499,Vila São Jorge,Residencial,2024-06,790700.42,868344.75,1.098,868344.75,17366.9,17366.9,0.0,0,2024
113,9630,Japuí,Comercial,2023-07,1689551.18,1290477.83,0.764,1689551.18,33791.02,25809.56,7981.47,1,2023
114,7978,Japuí,Comercial,2024-02,468294.58,518814.53,1.108,518814.53,10376.29,10376.29,0.0,0,2024
115,5834,Jardim Rio Branco,Residencial,2024-07,317397.82,288372.35,0.909,317397.82,6347.96,5767.45,580.51,0,2024
116,2302,Parque Bitaru,Residencial,2023-09,232725.83,247862.16,1.065,247862.16,4957.24,4957.24,0.0,0,2023
117,13430,Centro,Residencial,2023-10,260151.77,149948.41,0.576,260151.77,5203.04,2998.97,2204.07,1,2023
118,74,Cidade Nautica,Residencial,2023-07,413489.34,316934.53,0.766,413489.34,8269.79,6338.69,1931.1,1,2023
119,8872,Catiapoa,Residencial,2023-03,354910.11,322335.55,0.908,354910.11,7098.2,6446.71,651.49,0,2023
120,2863,Jardim Rio Branco,Comercial,2022-09,912639.6,793850.9,0.87,912639.6,18252.79,15877.02,2375.77,0,2022
121,6052,Jardim Rio Branco,Residencial,2022-03,233850.72,171157.16,0.732,233850.72,4677.01,3423.14,1253.87,1,2022
122,14934,Porto Grande,Residencial,2022-12,1541887.16,1392618.41,0.903,1541887.16,30837.74,27852.37,2985.38,0,2022
123,2263,Vila Nova,Residencial,2022-02,1195812.78,804445.65,0.673,1195812.78,23916.26,16088.91,7827.34,1,2022
124,2998,Vila Bocaina,Comercial,2024-01,1281274.47,1257314.7,0.981,1281274.47,25625.49,25146.29,479.2,0,2024
125,10751,Parque Bitaru,Residencial,2023-11,160988.86,139703.96,0.868,160988.86,3219.78,2794.08,425.7,0,2023
126,5814,Glória,Residencial,2024-10,482795.63,331515.87,0.687,482795.63,9655.91,6630.32,3025.6,1,2024
127,6228,Japuí,Comercial,2023-11,1129742.1,1138095.2,1.007,1138095.2,22761.9,22761.9,0.0,0,2023
128,7447,Glória,Residencial,2024-10,565126.67,536215.77,0.949,565126.67,11302.53,10724.32,578.22,0,2024
129,433,Ilha Porchat,Residencial,2024-09,231795.93,226688.95,0.978,231795.93,4635.92,4533.78,102.14,0,2024
130,14125,Vila Nova,Residencial,2024-07,209429.76,170760.07,0.815,209429.76,4188.6,3415.2,773.39,0,2024
131,14075,Parque Bitaru,Comercial,2024-09,677676.41,411514.33,0.607,677676.41,13553.53,8230.29,5323.24,1,2024
132,6527,Porto Grande,Residencial,2024-04,370809.06,187334.04,0.505,370809.06,7416.18,3746.68,3669.5,1,2024
133,3943,Vila Bocaina,Residencial,2023-07,630353.15,283669.35,0.45,630353.15,12607.06,5673.39,6933.68,1,2023
134,11632,Esplanada dos Barreiros,Residencial,2022-04,1457353.59,745035.61,0.511,1457353.59,29147.07,14900.71,14246.36,1,2022
135,6849,Catiapoa,Residencial,2023-04,347423.73,345922.49,0.996,347423.73,6948.47,6918.45,30.02,0,2023
136,3443,Japuí,Industrial,2023-04,228624.96,224641.24,0.983,228624.96,4572.5,4492.82,79.67,0,2023
137,6954,Glória,Residencial,2023-05,210953.85,179513.66,0.851,210953.85,4219.08,3590.27,628.8,0,2023
138,9295,Alto da Boa Vista,Residencial,2022-11,353132.99,283293.95,0.802,353132.99,7062.66,5665.88,1396.78,0,2022
139,14523,Parque Bitaru,Residencial,2022-11,719847.82,419451.07,0.583,719847.82,14396.96,8389.02,6007.93,1,2022
140,3448,Vila Bocaina,Residencial,2022-05,753203.83,648239.82,0.861,753203.83,15064.08,12964.8,2099.28,0,2022
141,7985,Vila Bocaina,Residencial,2022-02,119644.48,120638.71,1.008,120638.71,2412.77,2412.77,0.0,0,2022
142,14214,Parque Bitaru,Residencial,2023-02,280426.8,272637.64,0.972,280426.8,5608.54,5452.75,155.78,0,2023
143,2732,Centro,Residencial,2022-09,366226.05,374694.07,1.023,374694.07,7493.88,7493.88,0.0,0,2022
144,13161,Vila Margarida,Residencial,2024-09,566871.52,499545.41,0.881,566871.52,11337.43,9990.91,1346.52,0,2024
145,9975,Porto Grande,Residencial,2023-08,432351.57,459516.57,1.063,459516.57,9190.33,9190.33,0.0,0,2023
146,3036,Parque Bitaru,Residencial,2022-07,201371.64,162831.95,0.809,201371.64,4027.43,3256.64,770.79,0,2022
147,12191,Vila Nova,Residencial,2024-02,246599.63,235430.83,0.955,246599.63,4931.99,4708.62,223.38,0,2024
148,9035,Vila Nova,Residencial,2023-01,249934.86,237366.08,0.95,249934.86,4998.7,4747.32,251.38,0,2023
149,10837,Glória,Residencial,2024-03,506757.08,570599.85,1.126,570599.85,11412.0,11412.0,0.0,0,2024
150,5596,Glória,Residencial,2023-12,362750.9,368266.44,1.015,368266.44,7365.33,7365.33,0.0,0,2023
151,8986,Alto da Boa Vista,Residencial,2022-10,459768.36,508654.55,1.106,508654.55,10173.09,10173.09,0.0,0,2022
152,12105,Vila Nova,Residencial,2024-10,219239.78,225011.5,1.026,225011.5,4500.23,4500.23,0.0,0,2024
153,4243,Centro,Residencial,2024-10,134741.92,126967.62,0.942,134741.92,2694.84,2539.35,155.49,0,2024
154,1151,Catiapoa,Industrial,2023-09,124476.88,94612.53,0.76,124476.88,2489.54,1892.25,597.29,1,2023
155,8177,Parque Bitaru,Residencial,2023-06,717983.93,549901.36,0.766,717983.93,14359.68,10998.03,3361.65,1,2023
156,558,Porto Grande,Comercial,2022-03,650279.79,742416.45,1.142,742416.45,14848.33,14848.33,0.0,0,2022
157,7642,Alto da Boa Vista,Residencial,2024-03,465578.86,429850.04,0.923,465578.86,9311.58,8597.0,714.58,0,2024
158,14098,Vila Bocaina,Residencial,2023-12,322668.24,268350.02,0.832,322668.24,6453.36,5367.0,1086.36,0,2023
159,10050,Alto da Boa Vista,Comercial,2023-10,436071.88,365868.08,0.839,436071.88,8721.44,7317.36,1404.08,0,2023
160,7674,Japuí,Comercial,2024-11,530627.08,504239.73,0.95,530627.08,10612.54,10084.79,527.75,0,2024
161,4974,Vila Bocaina,Residencial,2022-12,339741.01,288205.07,0.848,339741.01,6794.82,5764.1,1030.72,0,2022
162,226,Parque Bitaru,Residencial,2024-01,141050.07,158462.42,1.123,158462.42,3169.25,3169.25,0.0,0,2024
163,5681,Esplanada dos Barreiros,Comercial,2022-04,740900.7,659678.93,0.89,740900.7,14818.01,13193.58,1624.44,0,2022
164,6619,Ilha Porchat,Residencial,2022-03,986031.89,1039480.5,1.054,1039480.5,20789.61,20789.61,0.0,0,2022
165,8555,Vila Margarida,Comercial,2022-10,1436711.21,1413741.81,0.984,1436711.21,28734.22,28274.84,459.39,0,2022
166,7780,Glória,Residencial,2024-10,401838.05,449971.97,1.12,449971.97,8999.44,8999.44,0.0,0,2024
167,1659,Vila Nova,Comercial,2023-02,875688.57,874486.56,0.999,875688.57,17513.77,17489.73,24.04,0,2023
168,8712,Cidade Nautica,Residencial,2023-06,697056.13,547148.92,0.785,697056.13,13941.12,10942.98,2998.14,1,2023
169,966,Alto da Boa Vista,Residencial,2023-11,392596.01,325261.77,0.828,392596.01,7851.92,6505.24,1346.68,0,2023
170,3099,Parque Bitaru,Residencial,2024-10,52435.66,54161.9,1.033,54161.9,1083.24,1083.24,0.0,0,2024
171,8202,Vila São Jorge,Comercial,2022-12,2061964.81,2093294.54,1.015,2093294.54,41865.89,41865.89,0.0,0,2022
172,9705,Esplanada dos Barreiros,Residencial,2023-12,429751.92,445534.16,1.037,445534.16,8910.68,8910.68,0.0,0,2023
173,5663,Alto da Boa Vista,Residencial,2024-10,254357.42,231725.58,0.911,254357.42,5087.15,4634.51,452.64,0,2024
174,13761,Alto da Boa Vista,Residencial,2024-03,195621.24,162558.36,0.831,195621.24,3912.42,3251.17,661.26,0,2024
175,6665,Glória,Residencial,2024-09,295694.75,258730.79,0.875,295694.75,5913.9,5174.62,739.28,0,2024
176,1970,Vila Margarida,Residencial,2024-09,373525.25,411407.04,1.101,411407.04,8228.14,8228.14,0.0,0,2024
177,8392,Japuí,Comercial,2024-01,187246.67,204115.69,1.09,204115.69,4082.31,4082.31,0.0,0,2024
178,7056,Vila São Jorge,Comercial,2022-08,566642.6,298068.49,0.526,566642.6,11332.85,5961.37,5371.48,1,2022
179,7621,Vila São Jorge,Residencial,2024-07,384871.42,311731.37,0.81,384871.42,7697.43,6234.63,1462.8,0,2024
180,1874,Ilha Porchat,Residencial,2022-12,714544.57,737578.47,1.032,737578.47,14751.57,14751.57,0.0,0,2022
181,3597,Centro,Residencial,2022-06,2146182.06,1881954.2,0.877,2146182.06,42923.64,37639.08,5284.56,0,2022
182,5139,Ilha Porchat,Comercial,2024-11,845557.29,822373.34,0.973,845557.29,16911.15,16447.47,463.68,0,2024
183,1187,Porto Grande,Residencial,2023-09,1643742.11,1567579.53,0.954,1643742.11,32874.84,31351.59,1523.25,0,2023
184,7376,Vila São Jorge,Residencial,2024-09,506969.3,342650.96,0.676,506969.3,10139.39,6853.02,3286.37,1,2024
185,14970,Japuí,Residencial,2024-10,364919.17,336861.58,0.923,364919.17,7298.38,6737.23,561.15,0,2024
186,11003,Catiapoa,Industrial,2023-09,186534.19,111660.82,0.599,186534.19,3730.68,2233.22,1497.47,1,2023
187,12794,Porto Grande,Residencial,2023-01,193037.17,210459.13,1.09,210459.13,4209.18,4209.18,0.0,0,2023
188,3505,Vila São Jorge,Residencial,2024-09,674435.37,375489.05,0.557,674435.37,13488.71,7509.78,5978.93,1,2024
189,6553,Vila Bocaina,Industrial,2023-04,1393448.5,1205896.51,0.865,1393448.5,27868.97,24117.93,3751.04,0,2023
190,12029,Vila Bocaina,Residencial,2023-08,614457.53,574016.8,0.934,614457.53,12289.15,11480.34,808.81,0,2023
191,12147,Porto Grande,Residencial,2023-10,350135.63,312350.24,0.892,350135.63,7002.71,6247.0,755.71,0,2023
192,10867,Centro,Residencial,2022-03,248331.21,277257.92,1.116,277257.92,5545.16,5545.16,0.0,0,2022
193,12507,Vila Margarida,Residencial,2022-06,150628.18,121071.25,0.804,150628.18,3012.56,2421.43,591.14,0,2022
194,2996,Esplanada dos Barreiros,Residencial,2023-08,369283.12,269707.7,0.73,369283.12,7385.66,5394.15,1991.51,1,2023
195,14542,Alto da Boa Vista,Comercial,2023-05,917423.99,811966.33,0.885,917423.99,18348.48,16239.33,2109.15,0,2023
196,14828,Vila Margarida,Residencial,2023-11,329332.28,294852.87,0.895,329332.28,6586.65,5897.06,689.59,0,2023
197,4019,Parque Bitaru,Residencial,2022-06,88464.03,74115.83,0.838,88464.03,1769.28,1482.32,286.96,0,2022
198,10605,Vila Nova,Residencial,2023-03,963735.77,946870.08,0.982,963735.77,19274.72,18937.4,337.31,0,2023
199,11302,Japuí,Residencial,2022-01,301744.26,246212.34,0.816,301744.26,6034.89,4924.25,1110.64,0,2022
200,6038,Jardim Rio Branco,Residencial,2022-09,281802.53,268522.98,0.953,281802.53,5636.05,5370.46,265.59,0,2022
201,1856,Cidade Nautica,Residencial,2024-09,360387.62,380762.33,1.057,380762.33,7615.25,7615.25,0.0,0,2024
202,10789,Vila Bocaina,Residencial,2024-03,158618.85,166740.79,1.051,166740.79,3334.82,3334.82,0.0,0,2024
203,11362,Esplanada dos Barreiros,Residencial,2023-03,770464.02,652009.39,0.846,770464.02,15409.28,13040.19,2369.09,0,2023
204,6200,Parque Bitaru,Residencial,2024-03,339508.06,311863.29,0.919,339508.06,6790.16,6237.27,552.9,0,2024
205,12781,Jardim Rio Branco,Comercial,2022-08,386972.96,416383.05,1.076,416383.05,8327.66,8327.66,0.0,0,2022
206,11586,Porto Grande,Residencial,2023-01,704717.39,599469.48,0.851,704717.39,14094.35,11989.39,2104.96,0,2023
207,8184,Centro,Residencial,2023-12,865168.54,756554.95,0.874,865168.54,17303.37,15131.1,2172.27,0,2023
208,1463,Vila São Jorge,Comercial,2022-02,665562.05,341694.23,0.513,665562.05,13311.24,6833.88,6477.36,1,2022
209,13585,Ilha Porchat,Residencial,2024-07,607396.57,682747.49,1.124,682747.49,13654.95,13654.95,0.0,0,2024
210,7490,Vila Bocaina,Residencial,2023-07,245636.9,199279.25,0.811,245636.9,4912.74,3985.59,927.15,0,2023
211,12090,Alto da Boa Vista,Residencial,2023-06,481371.39,234582.72,0.487,481371.39,9627.43,4691.65,4935.77,1,2023
212,14736,Catiapoa,Comercial,2022-01,366961.13,420445.19,1.146,420445.19,8408.9,8408.9,0.0,0,2022
213,6499,Ilha Porchat,Residencial,2022-07,566815.68,596176.18,1.052,596176.18,11923.52,11923.52,0.0,0,2022
214,10507,Vila São Jorge,Residencial,2024-02,170562.11,178817.83,1.048,178817.83,3576.36,3576.36,0.0,0,2024
215,8337,Vila Nova,Residencial,2023-04,443061.61,398421.28,0.899,443061.61,8861.23,7968.43,892.81,0,2023
216,9868,Alto da Boa Vista,Residencial,2022-11,258942.57,264605.13,1.022,264605.13,5292.1,5292.1,0.0,0,2022
217,6181,Jardim Rio Branco,Comercial,2022-05,242777.15,147315.11,0.607,242777.15,4855.54,2946.3,1909.24,1,2022
218,6129,Vila São Jorge,Residencial,2022-06,207259.63,189201.01,0.913,207259.63,4145.19,3784.02,361.17,0,2022
219,14377,Japuí,Residencial,2022-03,533436.65,439880.24,0.825,533436.65,10668.73,8797.6,1871.13,0,2022
220,4888,Vila Bocaina,Residencial,2023-10,373049.02,428479.68,1.149,428479.68,8569.59,8569.59,0.0,0,2023
221,4143,Cidade Nautica,Industrial,2023-11,749044.76,618397.41,0.826,749044.76,14980.9,12367.95,2612.95,0,2023
222,14415,Vila São Jorge,Residencial,2022-12,332830.27,326501.6,0.981,332830.27,6656.61,6530.03,126.57,0,2022
223,742,Cidade Nautica,Residencial,2023-05,594222.92,370502.06,0.624,594222.92,11884.46,7410.04,4474.42,1,2023
