id_imovel,inscricao_imobiliaria,tipo,bairro,area_m2,valor_venal,iptu_lancado,iptu_pago,isencao,inadimplente,ultima_atualizacao_cadastral
30,SV000030,Residencial,Vila São Jorge,103.2,287170.06,2297.36,0.0,0,1,2020-03-25
31,SV000031,Residencial,Cidade Nautica,108.8,384347.58,3074.78,3074.78,0,0,2021-06-04
32,SV000032,Comercial,Alto da Boa Vista,57.4,350564.96,4206.78,4206.78,0,0,2021-10-29
33,SV000033,Residencial,Parque Bitaru,123.0,385875.56,3087.0,3087.0,0,0,2018-09-29
34,SV000034,Residencial,Vila Bocaina,117.1,293535.62,2348.28,2348.28,0,0,2024-02-12
35,SV000035,Residencial,Porto Grande,302.7,1072262.57,8578.1,8578.1,0,0,2021-07-20
36,SV000036,Residencial,Parque Bitaru,146.8,457462.33,3659.7,3659.7,0,0,2023-09-25
37,SV000037,Comercial,Vila Bocaina,178.7,746563.55,8958.76,8958.76,0,0,2021-01-07
38,SV000038,Terreno,Ilha Porchat,74.2,99817.97,1996.36,1996.36,0,0,2019-12-06
39,SV000039,Residencial,Alto da Boa Vista,274.8,1078035.42,8624.28,8624.28,0,0,2019-12-17
40,SV000040,Comercial,Catiapoa,292.1,1501187.9,18014.25,18014.25,0,0,2021-10-27
41,SV000041,Comercial,Vila Bocaina,76.9,351273.55,4215.28,4215.28,0,0,2023-01-27
42,SV000042,Residencial,Porto Grande,85.4,247330.3,1978.64,1978.64,0,0,2023-12-02
43,SV000043,Comercial,Centro,103.5,705301.19,8463.61,8463.61,0,0,2024-06-25
44,SV000044,Residencial,Centro,49.4,221612.65,1772.9,1772.9,0,0,2018-04-14
45,SV000045,Comercial,Porto Grande,158.0,916697.59,11000.37,11000.37,0,0,2023-08-14
46,SV000046,Residencial,Ilha Porchat,163.5,792630.87,6341.05,6341.05,0,0,2019-07-07
47,SV000047,Residencial,Jardim Rio Branco,221.9,629588.59,5036.71,0.0,0,1,2023-02-01
48,SV000048,Terreno,Glória,26.0,25593.53,511.87,511.87,0,0,2024-11-23
49,SV000049,Comercial,Glória,78.7,434464.05,5213.57,5213.57,0,0,2022-06-20
50,SV000050,Comercial,Catiapoa,525.7,2609253.01,31311.04,31311.04,0,0,2024-03-09
51,SV000051,Terreno,Glória,68.5,75086.83,1501.74,0.0,0,1,2024-04-01
52,SV000052,Residencial,Vila Bocaina,177.7,441136.32,3529.09,3529.09,0,0,2022-12-16
53,SV000053,Residencial,Japuí,159.8,385420.23,3083.36,3083.36,0,0,2019-08-21
54,SV000054,Residencial,Vila São Jorge,149.6,463315.4,3706.52,3706.52,0,0,2021-10-12
55,SV000055,Comercial,Alto da Boa Vista,98.8,653580.32,7842.96,7842.96,0,0,2021-02-26
56,SV000056,Comercial,Ilha Porchat,241.7,1553556.96,18642.68,18642.68,0,0,2022-02-21
57,SV000057,Residencial,Vila Bocaina,176.7,489655.35,3917.24,3917.24,0,0,2019-06-09
58,SV000058,Residencial,Esplanada dos Barreiros,110.2,277434.18,2219.47,0.0,0,1,2024-06-28
59,SV000059,Residencial,Alto da Boa Vista,192.8,680671.18,5445.37,5445.37,0,0,2024-07-04
60,SV000060,Residencial,Japuí,90.3,257147.51,2057.18,2057.18,0,0,2019-04-14
61,SV000061,Residencial,Esplanada dos Barreiros,126.0,339746.49,2717.97,2717.97,0,0,2020-10-28
62,SV000062,Residencial,Cidade Nautica,85.5,301172.2,2409.38,0.0,0,1,2023-10-13
63,SV000063,Industrial,Centro,192.9,898852.95,10786.24,10786.24,0,0,2018-06-20
64,SV000064,Terreno,Cidade Nautica,98.2,107898.72,2157.97,0.0,0,1,2025-11-21
65,SV000065,Comercial,Parque Bitaru,93.3,364765.97,4377.19,4377.19,0,0,2025-11-14
66,SV000066,Industrial,Japuí,91.3,255814.88,3069.78,3069.78,0,0,2021-09-28
67,SV000067,Comercial,Glória,53.6,291070.84,3492.85,3492.85,0,0,2019-08-03
68,SV000068,Residencial,Catiapoa,69.8,167708.03,1341.66,1341.66,0,0,2023-01-10
69,SV000069,Residencial,Jardim Rio Branco,69.5,171469.39,1371.76,1371.76,0,0,2025-08-25
70,SV000070,Residencial,Vila Nova,109.1,309154.11,2473.23,2473.23,0,0,2023-07-19
71,SV000071,Comercial,Centro,35.0,202509.98,2430.12,2430.12,0,0,2023-09-03
72,SV000072,Residencial,Vila Bocaina,43.2,112290.09,898.32,898.32,0,0,2023-09-17
73,SV000073,Terreno,Vila São Jorge,166.3,129838.52,2596.77,2596.77,0,0,2019-01-23
74,SV000074,Residencial,Cidade Nautica,140.7,413489.34,3307.91,3307.91,0,0,2024-01-19
75,SV000075,Residencial,Esplanada dos Barreiros,92.3,258853.4,2070.83,0.0,0,1,2022-05-13
76,SV000076,Terreno,Catiapoa,77.4,78854.93,1577.1,1577.1,0,0,2023-03-14
77,SV000077,Residencial,Centro,46.6,207909.31,1663.27,1663.27,0,0,2021-10-12
78,SV000078,Comercial,Porto Grande,63.1,346813.45,4161.76,4161.76,0,0,2022-01-20
79,SV000079,Residencial,Catiapoa,48.7,121350.72,970.81,970.81,0,0,2021-03-17
80,SV000080,Residencial,Porto Grande,94.8,305781.24,2446.25,0.0,0,1,2023-09-19
81,SV000081,Comercial,Alto da Boa Vista,93.2,525023.03,6300.28,6300.28,0,0,2019-05-12
82,SV000082,Residencial,Vila Bocaina,342.3,1045322.34,8362.58,8362.58,0,0,2021-09-07
83,SV000083,Residencial,Vila Nova,107.0,265797.67,2126.38,2126.38,0,0,2019-04-22
84,SV000084,Residencial,Ilha Porchat,400.8,1681624.39,13453.0,13453.0,0,0,2022-01-10
85,SV000085,Residencial,Japuí,119.3,313332.98,2506.66,2506.66,0,0,2022-07-23
86,SV000086,Comercial,Vila Nova,124.4,578865.69,6946.39,6946.39,0,0,2025-04-10
87,SV000087,Residencial,Parque Bitaru,119.9,380707.26,3045.66,3045.66,0,0,2018-07-19
88,SV000088,Residencial,Vila Bocaina,194.3,530676.11,4245.41,4245.41,0,0,2026-02-04
89,SV000089,Residencial,Vila Bocaina,62.1,158765.64,1270.13,1270.13,0,0,2018-08-19
90,SV000090,Residencial,Esplanada dos Barreiros,71.9,227886.99,1823.1,1823.1,0,0,2018-08-08
91,SV000091,Comercial,Esplanada dos Barreiros,163.5,777884.12,9334.61,9334.61,0,0,2022-06-27
92,SV000092,Residencial,Ilha Porchat,45.0,207200.39,1657.6,1657.6,0,0,2021-12-14
93,SV000093,Residencial,Cidade Nautica,85.9,307991.46,2463.93,0.0,0,1,2024-02-05
94,SV000094,Industrial,Parque Bitaru,352.7,1055407.89,12664.89,12664.89,0,0,2025-03-27
95,SV000095,Residencial,Vila Bocaina,58.5,186561.52,1492.49,1492.49,0,0,2021-09-08
96,SV000096,Residencial,Vila Margarida,89.5,235967.02,1887.74,0.0,0,1,2023-06-22
97,SV000097,Residencial,Glória,79.7,221531.01,1772.25,1772.25,0,0,2020-01-26
98,SV000098,Terreno,Catiapoa,237.0,244926.12,4898.52,0.0,0,1,2023-09-28
99,SV000099,Residencial,Vila Bocaina,91.5,280314.33,2242.51,0.0,0,1,2026-02-24
100,SV000100,Residencial,Japuí,120.2,363674.32,2909.39,2909.39,0,0,2021-03-28
101,SV000101,Residencial,Parque Bitaru,87.6,241112.78,1928.9,1928.9,0,0,2023-03-07
102,SV000102,Residencial,Vila Margarida,203.7,638945.89,5111.57,5111.57,0,0,2025-02-16
103,SV000103,Residencial,Vila São Jorge,265.6,815877.53,6527.02,6527.02,0,0,2023-02-02
104,SV000104,Terreno,Parque Bitaru,215.4,168278.81,3365.58,0.0,0,1,2020-11-02
105,SV000105,Comercial,Esplanada dos Barreiros,298.1,1251433.5,15017.2,15017.2,0,0,2023-05-06
106,SV000106,Terreno,Alto da Boa Vista,71.6,90016.82,1800.34,1800.34,0,0,2025-02-27
107,SV000107,Residencial,Esplanada dos Barreiros,199.4,583319.35,4666.55,4666.55,0,0,2025-06-27
108,SV000108,Residencial,Japuí,168.4,441086.0,3528.69,3528.69,0,0,2023-08-12
109,SV000109,Residencial,Porto Grande,76.7,292046.2,2336.37,2336.37,0,0,2021-03-02
110,SV000110,Residencial,Alto da Boa Vista,28.0,88309.77,706.48,706.48,0,0,2023-07-29
111,SV000111,Residencial,Vila Margarida,146.0,416628.67,3333.03,3333.03,0,0,2019-11-16
112,SV000112,Residencial,Vila Margarida,240.0,715835.74,5726.69,5726.69,0,0,2025-04-25
113,SV000113,Comercial,Catiapoa,112.3,442119.77,5305.44,5305.44,0,0,2025-09-26
114,SV000114,Industrial,Ilha Porchat,212.5,1147978.99,13775.75,13775.75,0,0,2018-05-05
115,SV000115,Comercial,Vila Nova,102.3,520780.83,6249.37,6249.37,0,0,2022-08-20
116,SV000116,Residencial,Vila Nova,267.9,767268.39,6138.15,6138.15,0,0,2020-08-19
117,SV000117,Comercial,Cidade Nautica,130.3,744247.84,8930.97,8930.97,0,0,2024-12-21
118,SV000118,Comercial,Cidade Nautica,97.3,498211.85,5978.54,5978.54,0,0,2022-09-24
119,SV000119,Comercial,Glória,158.3,722358.41,8668.3,8668.3,0,0,2020-11-15
120,SV000120,Terreno,Japuí,158.4,152314.3,3046.29,0.0,0,1,2021-04-23
121,SV000121,Comercial,Vila São Jorge,169.5,696577.21,8358.93,8358.93,0,0,2023-05-19
122,SV000122,Residencial,Parque Bitaru,174.9,536088.08,4288.7,4288.7,0,0,2020-12-05
123,SV000123,Comercial,Japuí,46.0,224208.24,2690.5,2690.5,0,0,2022-05-18
124,SV000124,Residencial,Jardim Rio Branco,171.3,506796.09,4054.37,4054.37,0,0,2024-10-16
125,SV000125,Comercial,Vila Nova,132.6,600890.12,7210.68,7210.68,0,0,2022-09-15
126,SV000126,Residencial,Vila São Jorge,142.0,385448.22,3083.59,3083.59,0,0,2023-08-30
127,SV000127,Residencial,Cidade Nautica,61.1,183911.42,1471.29,1471.29,0,0,2022-11-23
128,SV000128,Residencial,Vila Margarida,108.4,321638.37,2573.11,2573.11,0,0,2022-07-02
129,SV000129,Residencial,Alto da Boa Vista,227.4,940543.05,7524.34,7524.34,0,0,2021-06-18
130,SV000130,Residencial,Vila Bocaina,178.8,428274.9,3426.2,3426.2,0,0,2024-01-13
131,SV000131,Residencial,Vila Nova,93.1,297240.41,2377.92,2377.92,0,0,2025-02-02
132,SV000132,Terreno,Ilha Porchat,85.7,141411.35,2828.23,2828.23,0,0,2018-05-03
133,SV000133,Terreno,Jardim Rio Branco,117.5,107939.36,2158.79,2158.79,0,0,2019-03-02
134,SV000134,Residencial,Glória,110.1,389084.56,3112.68,3112.68,0,0,2023-04-21
135,SV000135,Residencial,Cidade Nautica,170.4,558766.85,4470.13,0.0,0,1,2021-11-02
136,SV000136,Residencial,Porto Grande,88.8,314236.1,2513.89,2513.89,0,0,2025-06-25
137,SV000137,Industrial,Porto Grande,108.9,373711.41,4484.54,4484.54,0,0,2022-11-08
138,SV000138,Comercial,Parque Bitaru,136.0,623571.24,7482.85,7482.85,0,0,2023-05-08
139,SV000139,Comercial,Parque Bitaru,170.4,847819.23,10173.83,10173.83,0,0,2021-06-18
140,SV000140,Comercial,Japuí,120.6,589780.76,7077.37,7077.37,0,0,2024-02-22
141,SV000141,Residencial,Catiapoa,199.5,586844.06,4694.75,4694.75,0,0,2022-09-16
142,SV000142,Comercial,Vila Nova,157.7,763566.59,9162.8,9162.8,0,0,2021-09-26
143,SV000143,Residencial,Centro,113.4,497631.97,3981.06,3981.06,0,0,2022-05-31
144,SV000144,Residencial,Parque Bitaru,411.6,1303251.47,10426.01,10426.01,0,0,2020-10-31
145,SV000145,Residencial,Ilha Porchat,283.9,1208213.96,9665.71,9665.71,0,0,2018-06-25
146,SV000146,Residencial,Porto Grande,107.2,396533.49,3172.27,3172.27,0,0,2019-02-23
147,SV000147,Residencial,Porto Grande,130.5,412310.41,3298.48,3298.48,0,0,2019-04-25
148,SV000148,Residencial,Porto Grande,109.2,353547.75,2828.38,0.0,0,1,2023-05-24
149,SV000149,Comercial,Cidade Nautica,112.1,560842.29,6730.11,6730.11,0,0,2025-09-17
150,SV000150,Residencial,Vila Bocaina,217.9,563736.06,4509.89,4509.89,0,0,2018-09-02
151,SV000151,Comercial,Alto da Boa Vista,158.4,848118.0,10177.42,10177.42,0,0,2019-03-14
152,SV000152,Residencial,Japuí,103.0,320405.31,2563.24,2563.24,0,0,2022-09-24
153,SV000153,Residencial,Vila Margarida,171.5,533601.93,4268.82,4268.82,0,0,2023-03-01
154,SV000154,Residencial,Vila São Jorge,56.6,142508.53,1140.07,1140.07,0,0,2026-01-21
155,SV000155,Comercial,Esplanada dos Barreiros,536.1,2449621.19,29395.45,29395.45,0,0,2018-06-13
156,SV000156,Residencial,Centro,167.4,733877.63,5871.02,5871.02,0,0,2025-02-20
157,SV000157,Comercial,Alto da Boa Vista,38.1,217021.59,2604.26,2604.26,0,0,2023-02-06
158,SV000158,Residencial,Vila Margarida,188.4,517394.22,4139.15,4139.15,0,0,2023-03-15
159,SV000159,Residencial,Alto da Boa Vista,133.3,446857.69,3574.86,3574.86,0,0,2025-08-05
160,SV000160,Residencial,Esplanada dos Barreiros,135.8,433492.46,3467.94,3467.94,0,0,2020-09-13
161,SV000161,Residencial,Cidade Nautica,103.9,391657.35,3133.26,0.0,0,1,2024-04-10
162,SV000162,Residencial,Glória,56.0,182527.2,1460.22,1460.22,0,0,2022-12-23
163,SV000163,Residencial,Parque Bitaru,224.0,661021.12,5288.17,5288.17,0,0,2019-11-14
164,SV000164,Residencial,Catiapoa,66.2,190289.31,1522.31,1522.31,0,0,2022-10-07
165,SV000165,Residencial,Ilha Porchat,178.4,866702.51,6933.62,6933.62,0,0,2023-05-27
166,SV000166,Residencial,Centro,28.7,127310.41,1018.48,0.0,0,1,2023-02-17
167,SV000167,Residencial,Alto da Boa Vista,95.4,331372.07,2650.98,2650.98,0,0,2022-10-29
168,SV000168,Residencial,Jardim Rio Branco,34.4,96382.33,771.06,0.0,0,1,2020-05-27
169,SV000169,Residencial,Cidade Nautica,161.1,563507.79,4508.06,4508.06,0,0,2023-07-07
170,SV000170,Residencial,Parque Bitaru,135.4,370034.92,2960.28,0.0,0,1,2025-12-14
171,SV000171,Residencial,Jardim Rio Branco,179.4,472586.97,3780.7,3780.7,0,0,2026-03-21
172,SV000172,Residencial,Porto Grande,116.7,387465.95,3099.73,3099.73,0,0,2018-05-26
173,SV000173,Industrial,Jardim Rio Branco,155.7,484950.17,5819.4,0.0,0,1,2019-03-06
174,SV000174,Residencial,Japuí,83.4,251969.52,2015.76,2015.76,0,0,2018-08-24
175,SV000175,Terreno,Vila Bocaina,78.6,61407.59,1228.15,1228.15,0,0,2020-04-18
176,SV000176,Residencial,Vila Margarida,46.7,120617.77,964.94,964.94,0,0,2021-06-16
177,SV000177,Comercial,Glória,63.3,325676.84,3908.12,3908.12,0,0,2021-04-11
178,SV000178,Comercial,Japuí,252.8,1255349.81,15064.2,15064.2,0,0,2025-07-15
179,SV000179,Comercial,Esplanada dos Barreiros,102.2,480171.72,5762.06,5762.06,0,0,2018-07-12
180,SV000180,Residencial,Jardim Rio Branco,32.6,95677.23,765.42,765.42,0,0,2021-06-10
181,SV000181,Comercial,Vila São Jorge,107.5,501344.51,6016.13,6016.13,0,0,2022-05-17
182,SV000182,Residencial,Esplanada dos Barreiros,74.0,213244.46,1705.96,1705.96,0,0,2025-09-22
183,SV000183,Residencial,Glória,127.6,434731.44,3477.85,0.0,0,1,2026-01-08
184,SV000184,Residencial,Esplanada dos Barreiros,218.6,631004.86,5048.04,0.0,0,1,2023-01-04
185,SV000185,Residencial,Jardim Rio Branco,118.7,358533.73,2868.27,2868.27,0,0,2020-03-30
186,SV000186,Residencial,Alto da Boa Vista,291.1,1100125.13,8801.0,0.0,0,1,2022-02-26
187,SV000187,Residencial,Parque Bitaru,157.7,377495.89,3019.97,3019.97,0,0,2021-01-08
188,SV000188,Residencial,Parque Bitaru,84.5,267916.54,2143.33,2143.33,0,0,2025-06-09
189,SV000189,Residencial,Glória,77.0,237084.86,1896.68,0.0,0,1,2019-01-21
190,SV000190,Terreno,Esplanada dos Barreiros,79.5,62405.3,1248.11,1248.11,0,0,2023-10-09
191,SV000191,Industrial,Parque Bitaru,358.4,1243844.05,14926.13,14926.13,0,0,2019-06-24
192,SV000192,Industrial,Vila Margarida,196.5,698137.33,8377.65,8377.65,0,0,2019-08-20
193,SV000193,Comercial,Vila Margarida,239.7,1021438.35,12257.26,12257.26,0,0,2025-11-21
194,SV000194,Residencial,Porto Grande,89.3,298553.92,2388.43,0.0,0,1,2020-11-26
195,SV000195,Industrial,Vila Margarida,113.3,308485.34,3701.82,3701.82,0,0,2020-04-02
196,SV000196,Residencial,Porto Grande,93.4,270794.06,2166.35,2166.35,0,0,2026-03-07
197,SV000197,Residencial,Alto da Boa Vista,78.1,248279.15,1986.23,1986.23,0,0,2024-05-07
198,SV000198,Terreno,Vila Bocaina,72.6,58943.27,1178.87,0.0,0,1,2023-02-14
199,SV000199,Residencial,Vila São Jorge,190.6,544360.27,4354.88,0.0,0,1,2024-11-07
200,SV000200,Residencial,Catiapoa,578.6,1622242.07,12977.94,12977.94,0,0,2026-03-26
201,SV000201,Residencial,Vila Nova,387.5,1027263.93,8218.11,8218.11,0,0,2024-07-03
202,SV000202,Residencial,Porto Grande,79.2,280705.95,2245.65,2245.65,0,0,2018-06-10
203,SV000203,Residencial,Parque Bitaru,55.1,148037.52,1184.3,1184.3,0,0,2018-08-26
204,SV000204,Comercial,Japuí,141.6,675310.83,8103.73,8103.73,0,0,2021-01-31
205,SV000205,Residencial,Vila São Jorge,132.7,386255.58,3090.04,3090.04,0,0,2026-03-30
206,SV000206,Industrial,Cidade Nautica,152.3,546925.05,6563.1,0.0,0,1,2022-04-04
207,SV000207,Residencial,Porto Grande,60.5,190822.66,1526.58,1526.58,0,0,2025-09-29
208,SV000208,Residencial,Vila São Jorge,149.4,476898.4,3815.19,0.0,0,1,2020-10-19
209,SV000209,Comercial,Vila São Jorge,262.3,1172447.41,14069.37,14069.37,0,0,2024-05-20
210,SV000210,Residencial,Esplanada dos Barreiros,148.1,356102.53,2848.82,2848.82,0,0,2021-11-10
211,SV000211,Industrial,Alto da Boa Vista,57.2,266325.11,3195.9,3195.9,0,0,2018-10-10
212,SV000212,Residencial,Alto da Boa Vista,164.4,639553.08,5116.42,5116.42,0,0,2024-02-20
213,SV000213,Comercial,Esplanada dos Barreiros,172.5,827948.03,9935.38,9935.38,0,0,2020-09-21
214,SV000214,Residencial,Porto Grande,176.9,596332.97,4770.66,4770.66,0,0,2025-06-27
215,SV000215,Residencial,Alto da Boa Vista,52.2,171292.56,1370.34,1370.34,0,0,2019-05-23
216,SV000216,Residencial,Japuí,115.8,333847.49,2670.78,2670.78,0,0,2020-04-04
217,SV000217,Residencial,Glória,59.2,180896.33,1447.17,1447.17,0,0,2021-11-12
218,SV000218,Comercial,Vila Bocaina,82.9,359591.96,4315.1,4315.1,0,0,2025-07-05
219,SV000219,Residencial,Ilha Porchat,263.6,1208980.35,9671.84,9671.84,0,0,2019-03-20
220,SV000220,Residencial,Ilha Porchat,145.3,654595.78,5236.77,0.0,0,1,2023-12-25
221,SV000221,Residencial,Ilha Porchat,35.5,145508.17,1164.07,1164.07,0,0,2025-05-18
222,SV000222,Residencial,Centro,113.4,392649.69,3141.2,3141.2,0,0,2020-03-21
223,SV000223,Comercial,Vila São Jorge,95.3,466289.07,5595.47,5595.47,0,0,2026-01-10
224,SV000224,Residencial,Parque Bitaru,102.2,286920.64,2295.37,2295.37,0,0,2025-01-16
225,SV000225,Residencial,Porto Grande,86.0,265167.26,2121.34,2121.34,0,0,2024-01-21
226,SV000226,Residencial,Parque Bitaru,51.5,141050.07,1128.4,1128.4,0,0,2020-02-19
227,SV000227,Industrial,Parque Bitaru,273.5,920260.15,11043.12,11043.12,0,0,2020-02-02
228,SV000228,Residencial,Alto da Boa Vista,420.9,1693289.98,13546.32,13546.32,0,0,2024-09-21
229,SV000229,Residencial,Vila Nova,61.3,150427.55,1203.42,1203.42,0,0,2019-03-24
230,SV000230,Residencial,Jardim Rio Branco,77.8,239524.89,1916.2,1916.2,0,0,2025-08-27
231,SV000231,Comercial,Centro,134.7,774845.39,9298.14,9298.14,0,0,2020-08-01
232,SV000232,Residencial,Parque Bitaru,198.1,508401.93,4067.22,4067.22,0,0,2020-10-17
233,SV000233,Residencial,Jardim Rio Branco,364.0,1089492.43,8715.94,8715.94,0,0,2022-03-30
234,SV000234,Comercial,Porto Grande,119.6,570157.68,6841.89,6841.89,0,0,2023-01-11
235,SV000235,Residencial,Esplanada dos Barreiros,69.7,195698.24,1565.59,1565.59,0,0,2024-01-24
236,SV000236,Residencial,Esplanada dos Barreiros,158.2,445403.3,3563.23,0.0,0,1,2024-11-17
237,SV000237,Terreno,Porto Grande,331.4,308173.54,6163.47,6163.47,0,0,2021-07-29
238,SV000238,Residencial,Vila Nova,242.3,604840.12,4838.72,4838.72,0,0,2026-01-04
239,SV000239,Comercial,Ilha Porchat,69.3,475215.37,5702.58,5702.58,0,0,2023-10-11
240,SV000240,Residencial,Alto da Boa Vista,160.4,556633.64,4453.07,4453.07,0,0,2019-02-07
241,SV000241,Residencial,Alto da Boa Vista,115.5,403043.78,3224.35,3224.35,0,0,2024-03-28
242,SV000242,Residencial,Alto da Boa Vista,53.7,223449.53,1787.6,1787.6,0,0,2021-07-26
243,SV000243,Residencial,Esplanada dos Barreiros,273.6,768709.67,6149.68,6149.68,0,0,2022-04-11
244,SV000244,Residencial,Vila Bocaina,129.3,392392.39,3139.14,3139.14,0,0,2024-09-03
245,SV000245,Comercial,Esplanada dos Barreiros,82.7,332673.51,3992.08,0.0,0,1,2019-06-23
246,SV000246,Terreno,Vila Nova,111.3,104156.32,2083.13,2083.13,0,0,2023-09-29
247,SV000247,Comercial,Porto Grande,125.3,683715.4,8204.58,8204.58,0,0,2025-11-30
248,SV000248,Residencial,Glória,53.5,163182.36,1305.46,1305.46,0,0,2019-09-18
249,SV000249,Residencial,Vila São Jorge,132.8,321898.32,2575.19,0.0,0,1,2022-05-30
250,SV000250,Industrial,Jardim Rio Branco,82.6,259186.19,3110.23,0.0,0,1,2018-05-26
251,SV000251,Residencial,Vila Nova,71.0,199601.84,1596.81,1596.81,0,0,2026-03-30
252,SV000252,Comercial,Japuí,44.0,187660.99,2251.93,2251.93,0,0,2024-08-17
253,SV000253,Terreno,Vila São Jorge,46.9,39955.17,799.1,0.0,0,1,2018-05-08
254,SV000254,Comercial,Vila São Jorge,92.8,417120.42,5005.45,5005.45,0,0,2023-09-29
255,SV000255,Residencial,Parque Bitaru,164.6,402973.99,3223.79,3223.79,0,0,2021-07-20
256,SV000256,Comercial,Catiapoa,134.6,644133.55,7729.6,7729.6,0,0,2022-12-18
257,SV000257,Residencial,Esplanada dos Barreiros,266.5,715310.13,5722.48,5722.48,0,0,2019-02-26
258,SV000258,Comercial,Centro,89.4,634936.88,7619.24,7619.24,0,0,2024-07-16
259,SV000259,Residencial,Vila Bocaina,47.8,128403.31,1027.23,1027.23,0,0,2019-05-26
260,SV000260,Residencial,Porto Grande,96.5,364786.1,2918.29,2918.29,0,0,2023-03-21
261,SV000261,Residencial,Alto da Boa Vista,84.5,261399.13,2091.19,2091.19,0,0,2022-04-13
262,SV000262,Comercial,Catiapoa,258.2,1108751.98,13305.02,13305.02,0,0,2020-07-23
263,SV000263,Residencial,Vila Margarida,191.7,595445.25,4763.56,4763.56,0,0,2021-04-05
264,SV000264,Comercial,Ilha Porchat,106.6,678967.78,8147.61,0.0,0,1,2019-01-12
265,SV000265,Residencial,Centro,137.0,494421.08,3955.37,0.0,0,1,2023-12-05
266,SV000266,Comercial,Vila Margarida,327.1,1505249.77,18063.0,18063.0,0,0,2023-07-29
267,SV000267,Residencial,Ilha Porchat,319.8,1433924.37,11471.39,11471.39,0,0,2020-12-28
268,SV000268,Terreno,Cidade Nautica,375.3,386031.62,7720.63,0.0,0,1,2024-05-21
269,SV000269,Residencial,Porto Grande,253.5,848950.48,6791.6,0.0,0,1,2021-07-05
270,SV000270,Comercial,Vila Bocaina,130.3,650963.58,7811.56,7811.56,0,0,2020-08-29
271,SV000271,Residencial,Esplanada dos Barreiros,135.3,434243.88,3473.95,3473.95,0,0,2025-02-26
272,SV000272,Residencial,Vila Margarida,167.9,466156.57,3729.25,3729.25,0,0,2022-01-01
273,SV000273,Residencial,Japuí,270.1,770542.65,6164.34,6164.34,0,0,2021-04-12
274,SV000274,Residencial,Porto Grande,88.3,271910.72,2175.29,2175.29,0,0,2018-12-30
275,SV000275,Comercial,Vila Bocaina,89.3,346694.72,4160.34,4160.34,0,0,2024-08-30
