id_contribuinte,cnae,desc_cnae,porte,regime_tributario,bairro,gap_medio_pct,taxa_omissao,meses_sem_fiscalizacao,gap_vs_bench_pct,score_risco,faixa_risco,irregularidade_confirmada,receita_media_12m
29,4120-4,Construção de edifícios,MEI,MEI,Centro,6.89,0.0,36,98.12,0.0,Baixo,0,7391.63
30,8650-0,Atividades de saúde humana,MEI,MEI,Vila Nova,5.69,0.0,27,96.54,4.0,Baixo,0,5393.14
31,5310-5,Atividades dos correios,ME,Simples Nacional,Cidade Nautica,6.88,0.0,2,62.09,16.8,Baixo,0,17686.56
32,5620-1,Serviços de alimentação,EPP,Simples Nacional,Cidade Nautica,3.79,0.0,36,0.0,0.0,Baixo,0,101765.26
33,4921-3,Transporte rodoviário coletivo,MEI,MEI,Parque Bitaru,4.67,0.0,13,98.65,96.7,Alto,1,7241.26
34,4771-7,Comércio farmacêutico,MEI,MEI,Centro,44.42,0.1667,36,98.16,0.1,Baixo,0,4546.08
35,4771-7,Comércio farmacêutico,MEI,MEI,Ilha Porchat,68.54,0.0,36,98.93,0.3,Baixo,0,2651.88
36,8650-0,Atividades de saúde humana,EPP,Simples Nacional,Cidade Nautica,6.44,0.0,36,10.6,0.0,Baixo,0,139233.23
37,5310-5,Atividades dos correios,MEI,MEI,Vila Bocaina,34.05,0.0,36,95.85,0.1,Baixo,0,1937.41
38,9602-5,Cabeleireiros e similares,EPP,Simples Nacional,Parque Bitaru,47.14,0.1667,36,30.24,0.3,Baixo,0,24345.78
39,7711-0,Locação de automóveis,EPP,Simples Nacional,Vila Margarida,8.09,0.0,36,33.27,0.1,Baixo,0,201133.81
40,7711-0,Locação de automóveis,ME,Lucro Presumido,Glória,12.53,0.0833,36,84.07,0.0,Baixo,0,48018.69
41,4120-4,Construção de edifícios,MD,Lucro Presumido,Alto da Boa Vista,34.93,0.0833,36,0.0,0.1,Baixo,0,516408.27
42,8599-6,Treinamento e capacitação,MEI,MEI,Cidade Nautica,16.19,0.1667,36,95.52,0.1,Baixo,0,2810.5
43,8650-0,Atividades de saúde humana,MEI,MEI,Glória,9.1,0.0,36,96.67,0.1,Baixo,0,5189.46
44,6920-6,Atividades contábeis,EPP,Lucro Presumido,Jardim Rio Branco,34.57,0.0833,36,37.91,0.2,Baixo,0,58234.66
45,4330-4,Acabamentos em construção,MD,Lucro Presumido,Cidade Nautica,3.11,0.0,5,0.0,5.1,Baixo,0,499696.73
46,8630-5,Atividades de atenção à saúde,MEI,MEI,Cidade Nautica,44.72,0.25,14,98.41,95.4,Alto,1,3310.61
47,8512-1,Ensino fundamental,EPP,Lucro Presumido,Glória,4.79,0.0,36,21.96,0.0,Baixo,0,84311.23
48,5310-5,Atividades dos correios,EPP,Lucro Presumido,Vila São Jorge,5.33,0.0,36,0.0,0.1,Baixo,0,60648.13
49,8512-1,Ensino fundamental,ME,Lucro Presumido,Jardim Rio Branco,5.04,0.0,36,76.98,0.0,Baixo,0,24867.41
50,5611-2,Restaurantes e similares,MEI,MEI,Centro,3.26,0.0,33,93.49,97.1,Alto,1,6649.44
51,6202-3,Desenvolvimento de sistemas,MEI,MEI,Ilha Porchat,36.32,0.0833,36,97.34,0.3,Baixo,0,2446.2
52,4330-4,Acabamentos em construção,MEI,MEI,Esplanada dos Barreiros,13.79,0.0833,36,97.03,0.0,Baixo,0,4819.39
53,4921-3,Transporte rodoviário coletivo,MD,Lucro Presumido,Alto da Boa Vista,4.58,0.0,36,0.0,0.1,Baixo,0,752601.36
54,4921-3,Transporte rodoviário coletivo,ME,Lucro Presumido,Cidade Nautica,41.19,0.0833,36,94.08,0.4,Baixo,0,31819.39
55,5611-2,Restaurantes e similares,MEI,MEI,Ilha Porchat,5.74,0.0,36,93.39,0.0,Baixo,0,6760.07
56,8630-5,Atividades de atenção à saúde,MEI,MEI,Parque Bitaru,6.15,0.0,36,97.28,0.0,Baixo,0,5663.2
57,8630-5,Atividades de atenção à saúde,MD,Lucro Presumido,Glória,37.16,0.0833,7,0.0,91.6,Alto,0,421150.88
58,6911-7,Atividades jurídicas,ME,Simples Nacional,Ilha Porchat,71.52,0.25,36,92.87,0.4,Baixo,0,9369.09
59,7711-0,Locação de automóveis,EPP,Simples Nacional,Vila Nova,5.64,0.0,36,36.5,0.0,Baixo,0,191384.51
60,5611-2,Restaurantes e similares,MD,Lucro Real,Parque Bitaru,7.03,0.0,36,0.0,13.0,Baixo,0,447524.43
61,8599-6,Treinamento e capacitação,EPP,Lucro Presumido,Vila Margarida,68.65,0.1667,36,72.05,0.2,Baixo,0,17548.31
62,4921-3,Transporte rodoviário coletivo,MEI,MEI,Ilha Porchat,11.28,0.0833,36,98.82,0.1,Baixo,0,6343.47
65,5611-2,Restaurantes e similares,MEI,MEI,Ilha Porchat,4.48,0.0,36,93.56,0.1,Baixo,0,6581.11
67,6202-3,Desenvolvimento de sistemas,MEI,MEI,Vila São Jorge,3.24,0.0,36,96.14,0.0,Baixo,0,3547.86
68,4921-3,Transporte rodoviário coletivo,MD,Lucro Presumido,Parque Bitaru,7.67,0.0,14,0.0,95.2,Alto,1,783599.9
69,6920-6,Atividades contábeis,ME,Lucro Presumido,Vila Nova,36.55,0.0,36,80.37,0.3,Baixo,0,18411.73
70,8650-0,Atividades de saúde humana,ME,Simples Nacional,Ilha Porchat,66.1,0.0833,31,91.82,37.5,Baixo,0,12737.77
71,4921-3,Transporte rodoviário coletivo,GR,Lucro Real,Vila Nova,6.9,0.0,26,0.0,23.3,Baixo,0,2993006.67
72,5620-1,Serviços de alimentação,ME,Simples Nacional,Japuí,13.2,0.0833,36,67.46,0.1,Baixo,0,29489.29
73,5611-2,Restaurantes e similares,MEI,MEI,Ilha Porchat,3.05,0.0,36,93.2,0.0,Baixo,0,6945.77
74,6920-6,Atividades contábeis,ME,Simples Nacional,Vila Nova,15.92,0.0833,26,73.53,0.5,Baixo,0,24828.12
75,6202-3,Desenvolvimento de sistemas,MEI,MEI,Cidade Nautica,13.75,0.0833,36,96.2,0.1,Baixo,0,3488.31
76,5611-2,Restaurantes e similares,MD,Lucro Real,Vila Nova,6.21,0.0,36,0.0,0.1,Baixo,0,452769.81
77,6920-6,Atividades contábeis,MEI,MEI,Centro,5.45,0.0,6,95.36,41.2,Médio,0,4350.97
78,9311-5,Academias e fitness,GR,Lucro Real,Vila Margarida,6.93,0.0,36,0.0,0.0,Baixo,0,971562.11
79,5620-1,Serviços de alimentação,EPP,Simples Nacional,Vila Nova,34.52,0.0833,17,23.06,98.5,Alto,1,69715.18
80,4771-7,Comércio farmacêutico,MEI,MEI,Jardim Rio Branco,28.03,0.0,36,97.54,0.0,Baixo,0,6100.8
81,4771-7,Comércio farmacêutico,ME,Lucro Presumido,Parque Bitaru,29.83,0.0,36,83.51,0.0,Baixo,0,40859.15
82,5611-2,Restaurantes e similares,ME,Lucro Presumido,Alto da Boa Vista,13.83,0.0833,36,68.74,0.0,Baixo,0,31948.46
83,8599-6,Treinamento e capacitação,MEI,MEI,Vila Bocaina,33.77,0.0833,36,96.69,0.0,Baixo,0,2077.37
84,5611-2,Restaurantes e similares,MEI,MEI,Vila Margarida,3.76,0.0,36,93.64,0.1,Baixo,0,6502.65
85,8599-6,Treinamento e capacitação,MEI,MEI,Vila São Jorge,8.57,0.0,36,95.38,0.2,Baixo,0,2902.07
86,8599-6,Treinamento e capacitação,EPP,Lucro Presumido,Ilha Porchat,10.58,0.0833,36,21.95,0.1,Baixo,0,48998.44
87,8630-5,Atividades de atenção à saúde,ME,Simples Nacional,Japuí,10.32,0.0833,36,79.47,0.1,Baixo,0,42812.74
88,4771-7,Comércio farmacêutico,ME,Simples Nacional,Vila Bocaina,4.65,0.0,36,75.89,0.0,Baixo,0,59731.23
89,4921-3,Transporte rodoviário coletivo,EPP,Simples Nacional,Vila Nova,4.08,0.0,36,59.58,0.0,Baixo,0,217310.64
90,8599-6,Treinamento e capacitação,MD,Lucro Real,Vila Nova,11.15,0.0833,36,0.0,0.1,Baixo,0,140646.85
91,5611-2,Restaurantes e similares,MEI,MEI,Cidade Nautica,4.74,0.0,36,93.4,0.1,Baixo,0,6748.58
92,6920-6,Atividades contábeis,MD,Lucro Presumido,Vila Bocaina,62.24,0.0,36,0.0,0.2,Baixo,0,124372.99
93,6201-5,Desenvolvimento de software,MEI,MEI,Japuí,43.73,0.1667,36,98.03,0.2,Baixo,0,2634.31
94,8650-0,Atividades de saúde humana,EPP,Lucro Presumido,Catiapoa,4.43,0.0,36,5.65,0.1,Baixo,0,146938.03
95,8630-5,Atividades de atenção à saúde,ME,Simples Nacional,Japuí,4.17,0.0,36,79.5,0.0,Baixo,0,42765.77
96,6911-7,Atividades jurídicas,MEI,MEI,Parque Bitaru,73.25,0.25,36,99.02,0.1,Baixo,0,1283.49
97,6202-3,Desenvolvimento de sistemas,MD,Lucro Real,Ilha Porchat,47.7,0.25,36,0.0,0.2,Baixo,0,180162.13
98,9311-5,Academias e fitness,MEI,MEI,Vila São Jorge,7.35,0.0,36,97.4,0.1,Baixo,0,4614.77
99,8511-2,Educação infantil,EPP,Lucro Presumido,Esplanada dos Barreiros,74.1,0.1667,36,78.17,0.3,Baixo,0,19696.03
100,8599-6,Treinamento e capacitação,MD,Lucro Real,Cidade Nautica,36.77,0.0833,18,0.0,94.5,Alto,1,117891.46
101,7490-1,Consultoria empresarial,ME,Lucro Presumido,Esplanada dos Barreiros,5.29,0.0,5,74.54,94.3,Alto,1,23600.46
102,6911-7,Atividades jurídicas,MEI,MEI,Catiapoa,67.2,0.0833,36,98.72,0.2,Baixo,0,1678.23
103,7711-0,Locação de automóveis,ME,Simples Nacional,Japuí,4.17,0.0,36,83.04,0.0,Baixo,0,51104.3
104,4330-4,Acabamentos em construção,MEI,MEI,Glória,33.34,0.0833,36,97.66,0.2,Baixo,0,3793.65
105,4921-3,Transporte rodoviário coletivo,MEI,MEI,Ilha Porchat,3.55,0.0,36,98.63,0.1,Baixo,0,7390.07
106,4771-7,Comércio farmacêutico,ME,Simples Nacional,Ilha Porchat,28.37,0.0,36,82.03,0.1,Baixo,0,44509.41
107,7490-1,Consultoria empresarial,EPP,Lucro Presumido,Catiapoa,3.59,0.0,36,2.6,0.1,Baixo,0,90305.66
108,7490-1,Consultoria empresarial,EPP,Simples Nacional,Cidade Nautica,13.22,0.0833,36,15.9,0.1,Baixo,0,77972.72
109,4921-3,Transporte rodoviário coletivo,MEI,MEI,Vila Margarida,29.73,0.0,36,99.03,0.1,Baixo,0,5217.19
111,7711-0,Locação de automóveis,EPP,Lucro Presumido,Cidade Nautica,3.76,0.0,36,33.84,0.1,Baixo,0,199412.48
112,5620-1,Serviços de alimentação,MEI,MEI,Jardim Rio Branco,6.34,0.0,29,93.54,15.1,Baixo,0,5856.82
113,4771-7,Comércio farmacêutico,MEI,MEI,Ilha Porchat,13.54,0.0833,36,97.35,0.0,Baixo,0,6571.74
114,7711-0,Locação de automóveis,GR,Lucro Real,Porto Grande,5.94,0.0,36,0.0,0.0,Baixo,0,2663763.41
116,6920-6,Atividades contábeis,EPP,Lucro Presumido,Cidade Nautica,4.18,0.0,23,11.89,3.7,Baixo,0,82647.07
117,6920-6,Atividades contábeis,ME,Lucro Presumido,Vila Bocaina,8.84,0.0,36,70.88,0.0,Baixo,0,27313.39
118,6911-7,Atividades jurídicas,MEI,MEI,Catiapoa,41.04,0.1667,36,97.66,0.1,Baixo,0,3073.12
119,8650-0,Atividades de saúde humana,MEI,MEI,Catiapoa,5.91,0.0,36,96.56,0.0,Baixo,0,5358.01
120,8650-0,Atividades de saúde humana,ME,Simples Nacional,Jardim Rio Branco,5.83,0.0,36,76.27,0.0,Baixo,0,36963.66
121,8511-2,Educação infantil,MD,Lucro Presumido,Alto da Boa Vista,66.29,0.0833,4,9.43,98.4,Alto,1,81719.73
122,8511-2,Educação infantil,MD,Lucro Real,Vila Nova,5.81,0.0,36,0.0,0.0,Baixo,0,236265.04
123,5620-1,Serviços de alimentação,MEI,MEI,Vila São Jorge,65.47,0.1667,36,97.65,0.2,Baixo,0,2126.75
124,4771-7,Comércio farmacêutico,ME,Simples Nacional,Alto da Boa Vista,70.49,0.0833,0,92.21,99.8,Alto,1,19304.99
125,4120-4,Construção de edifícios,GR,Lucro Real,Alto da Boa Vista,73.24,0.1667,4,0.0,99.7,Alto,1,1012564.98
126,9602-5,Cabeleireiros e similares,MEI,MEI,Parque Bitaru,4.98,0.0,36,90.7,0.0,Baixo,0,3246.43
127,4330-4,Acabamentos em construção,MD,Lucro Real,Vila Margarida,4.62,0.0,36,0.0,0.0,Baixo,0,452743.35
128,9311-5,Academias e fitness,MEI,MEI,Catiapoa,10.98,0.0833,36,97.63,0.0,Baixo,0,4212.8
129,4120-4,Construção de edifícios,MD,Lucro Real,Centro,38.48,0.0833,32,0.0,14.4,Baixo,0,534829.07
130,7711-0,Locação de automóveis,ME,Lucro Presumido,Centro,8.49,0.0,36,83.76,0.0,Baixo,0,48945.43
132,6202-3,Desenvolvimento de sistemas,MEI,MEI,Jardim Rio Branco,11.62,0.0833,36,96.26,0.1,Baixo,0,3441.29
133,4921-3,Transporte rodoviário coletivo,MD,Lucro Real,Alto da Boa Vista,34.13,0.0,36,1.55,0.3,Baixo,0,529329.12
134,9311-5,Academias e fitness,EPP,Lucro Presumido,Glória,30.66,0.0,36,62.09,0.1,Baixo,0,67344.94
135,4921-3,Transporte rodoviário coletivo,ME,Lucro Presumido,Japuí,4.25,0.0,36,89.94,0.0,Baixo,0,54111.55
136,4921-3,Transporte rodoviário coletivo,EPP,Lucro Presumido,Ilha Porchat,34.07,0.0833,32,72.66,8.2,Baixo,0,146989.83
137,6911-7,Atividades jurídicas,MD,Lucro Real,Vila Nova,61.41,0.0,36,0.0,0.1,Baixo,0,160910.27
139,7490-1,Consultoria empresarial,EPP,Lucro Presumido,Porto Grande,34.76,0.0833,36,36.42,0.3,Baixo,0,58944.59
140,4330-4,Acabamentos em construção,EPP,Simples Nacional,Centro,56.37,0.3333,36,62.94,0.1,Baixo,0,60084.23
141,5620-1,Serviços de alimentação,MD,Lucro Real,Vila Nova,10.84,0.0833,36,0.0,0.1,Baixo,0,349258.63
142,5620-1,Serviços de alimentação,ME,Lucro Presumido,Porto Grande,14.02,0.0833,36,70.95,0.0,Baixo,0,26321.97
143,6911-7,Atividades jurídicas,ME,Lucro Presumido,Parque Bitaru,5.33,0.0,36,77.58,0.0,Baixo,0,29466.66
144,5620-1,Serviços de alimentação,ME,Simples Nacional,Jardim Rio Branco,4.62,0.0,36,65.66,0.1,Baixo,0,31120.24
146,6920-6,Atividades contábeis,MEI,MEI,Centro,5.76,0.0,36,95.5,0.0,Baixo,0,4222.94
147,5611-2,Restaurantes e similares,EPP,Lucro Presumido,Japuí,4.97,0.0,36,0.0,0.1,Baixo,0,118168.94
148,6920-6,Atividades contábeis,MEI,MEI,Porto Grande,6.3,0.0,36,95.36,0.1,Baixo,0,4356.3
149,4120-4,Construção de edifícios,EPP,Lucro Presumido,Vila Margarida,6.53,0.0,36,47.9,0.0,Baixo,0,204943.41
150,8650-0,Atividades de saúde humana,ME,Simples Nacional,Vila Bocaina,5.09,0.0,36,75.6,0.0,Baixo,0,38000.51
151,8512-1,Ensino fundamental,MEI,MEI,Cidade Nautica,4.12,0.0,36,96.42,0.0,Baixo,0,3863.72
152,6920-6,Atividades contábeis,ME,Simples Nacional,Japuí,39.22,0.0833,36,80.51,0.0,Baixo,0,18282.14
153,4330-4,Acabamentos em construção,EPP,Simples Nacional,Parque Bitaru,71.69,0.25,36,78.19,0.2,Baixo,0,35361.49
154,6202-3,Desenvolvimento de sistemas,ME,Lucro Presumido,Alto da Boa Vista,5.1,0.0,36,75.75,0.0,Baixo,0,22286.75
155,9311-5,Academias e fitness,EPP,Lucro Presumido,Alto da Boa Vista,7.09,0.0,36,49.73,0.0,Baixo,0,89312.2
156,5620-1,Serviços de alimentação,ME,Lucro Presumido,Esplanada dos Barreiros,3.08,0.0,36,66.87,0.1,Baixo,0,30020.32
157,8512-1,Ensino fundamental,MEI,MEI,Ilha Porchat,68.35,0.1667,36,98.8,0.1,Baixo,0,1293.57
158,4120-4,Construção de edifícios,EPP,Lucro Presumido,Vila Nova,35.1,0.0833,36,61.89,0.0,Baixo,0,149932.94
159,4120-4,Construção de edifícios,ME,Simples Nacional,Parque Bitaru,7.44,0.0,36,86.35,0.0,Baixo,0,53685.68
160,5310-5,Atividades dos correios,MEI,MEI,Glória,29.85,0.25,36,95.37,0.0,Baixo,0,2158.88
161,8512-1,Ensino fundamental,ME,Lucro Presumido,Porto Grande,39.24,0.0833,36,85.3,0.2,Baixo,0,15885.6
162,9602-5,Cabeleireiros e similares,EPP,Lucro Presumido,Japuí,6.99,0.0,36,0.0,0.1,Baixo,0,43996.09
163,6920-6,Atividades contábeis,GR,Lucro Real,Japuí,34.55,0.0,0,0.0,94.9,Alto,1,559910.31
165,5310-5,Atividades dos correios,ME,Lucro Presumido,Centro,3.31,0.0,36,63.1,0.2,Baixo,0,17215.79
166,4120-4,Construção de edifícios,ME,Lucro Presumido,Ilha Porchat,37.12,0.0,36,91.24,0.0,Baixo,0,34443.89
167,6202-3,Desenvolvimento de sistemas,MEI,MEI,Vila Bocaina,3.85,0.0,36,95.92,0.0,Baixo,0,3749.04
169,4120-4,Construção de edifícios,MD,Lucro Presumido,Glória,33.86,0.0,10,0.0,38.3,Baixo,0,579102.15
170,7490-1,Consultoria empresarial,ME,Lucro Presumido,Centro,5.85,0.0,36,73.15,0.0,Baixo,0,24889.92
171,8511-2,Educação infantil,ME,Lucro Presumido,Catiapoa,6.02,0.0,36,77.31,0.0,Baixo,0,20470.61
172,5611-2,Restaurantes e similares,MEI,MEI,Jardim Rio Branco,3.07,0.0,36,93.48,0.0,Baixo,0,6666.02
173,5620-1,Serviços de alimentação,ME,Lucro Presumido,Parque Bitaru,36.9,0.0833,36,76.65,0.0,Baixo,0,21157.18
174,7711-0,Locação de automóveis,ME,Simples Nacional,Cidade Nautica,5.35,0.0,18,83.91,41.6,Médio,0,48497.17
175,8512-1,Ensino fundamental,ME,Simples Nacional,Vila Margarida,48.96,0.1667,36,86.43,0.1,Baixo,0,14655.89
176,8511-2,Educação infantil,ME,Simples Nacional,Japuí,75.23,0.3333,35,93.36,98.1,Alto,0,5987.39
177,4921-3,Transporte rodoviário coletivo,EPP,Simples Nacional,Parque Bitaru,4.05,0.0,36,59.38,0.0,Baixo,0,218383.38
178,9311-5,Academias e fitness,MEI,MEI,Alto da Boa Vista,42.78,0.1667,36,98.56,0.0,Baixo,0,2564.69
179,4330-4,Acabamentos em construção,MEI,MEI,Vila Nova,13.92,0.0833,36,97.12,0.0,Baixo,0,4673.83
180,6920-6,Atividades contábeis,MD,Lucro Presumido,Vila Margarida,14.07,0.0833,36,0.0,0.0,Baixo,0,268461.84
181,4771-7,Comércio farmacêutico,ME,Simples Nacional,Parque Bitaru,40.58,0.1667,36,84.76,0.0,Baixo,0,37754.57
182,7490-1,Consultoria empresarial,ME,Simples Nacional,Ilha Porchat,5.44,0.0,36,73.16,0.0,Baixo,0,24883.31
183,8511-2,Educação infantil,MD,Lucro Real,Vila Margarida,6.52,0.0,36,0.0,0.0,Baixo,0,229473.9
185,4120-4,Construção de edifícios,MEI,MEI,Cidade Nautica,13.36,0.0833,36,98.14,0.0,Baixo,0,7317.25
186,6911-7,Atividades jurídicas,MEI,MEI,Alto da Boa Vista,2.14,0.0,7,96.39,24.0,Baixo,0,4743.2
187,6911-7,Atividades jurídicas,MEI,MEI,Catiapoa,33.28,0.0833,36,97.45,0.1,Baixo,0,3346.17
188,8512-1,Ensino fundamental,MEI,MEI,Esplanada dos Barreiros,1.73,0.0,36,96.32,0.1,Baixo,0,3974.61
189,7711-0,Locação de automóveis,EPP,Lucro Presumido,Vila Bocaina,13.7,0.0833,18,44.43,95.1,Alto,1,167486.48
190,8650-0,Atividades de saúde humana,EPP,Simples Nacional,Glória,3.55,0.0,36,5.63,0.0,Baixo,0,146976.55
191,6202-3,Desenvolvimento de sistemas,MEI,MEI,Esplanada dos Barreiros,34.19,0.0,36,97.03,0.1,Baixo,0,2732.62
192,4330-4,Acabamentos em construção,ME,Simples Nacional,Glória,82.72,0.5,36,95.51,0.2,Baixo,0,7274.17
193,4921-3,Transporte rodoviário coletivo,EPP,Simples Nacional,Vila São Jorge,27.82,0.0,36,69.87,0.1,Baixo,0,162006.86
194,6911-7,Atividades jurídicas,MEI,MEI,Glória,4.37,0.0,36,96.07,0.0,Baixo,0,5169.9
195,6920-6,Atividades contábeis,EPP,Lucro Presumido,Parque Bitaru,32.57,0.0,2,34.68,96.9,Alto,1,61266.08
196,6911-7,Atividades jurídicas,GR,Lucro Real,Vila São Jorge,5.84,0.0,36,0.0,0.0,Baixo,0,1141166.88
197,5620-1,Serviços de alimentação,ME,Lucro Presumido,Parque Bitaru,32.92,0.0833,30,76.54,13.0,Baixo,0,21253.82
198,5620-1,Serviços de alimentação,MEI,MEI,Vila Bocaina,68.57,0.0833,36,97.81,0.6,Baixo,0,1981.55
199,8511-2,Educação infantil,MD,Lucro Presumido,Centro,7.07,0.0,36,0.0,0.1,Baixo,0,239678.64
200,8650-0,Atividades de saúde humana,EPP,Simples Nacional,Vila Bocaina,33.1,0.0,36,28.94,0.1,Baixo,0,110668.12
201,4921-3,Transporte rodoviário coletivo,MEI,MEI,Ilha Porchat,64.77,0.1667,36,99.5,0.5,Baixo,0,2694.38
202,7490-1,Consultoria empresarial,ME,Simples Nacional,Esplanada dos Barreiros,39.46,0.0833,36,82.91,0.0,Baixo,0,15845.84
203,6202-3,Desenvolvimento de sistemas,MEI,MEI,Parque Bitaru,63.39,0.0833,36,98.42,0.1,Baixo,0,1450.0
204,9311-5,Academias e fitness,ME,Lucro Presumido,Vila São Jorge,6.92,0.0,0,85.03,95.4,Alto,1,26585.97
205,7711-0,Locação de automóveis,MD,Lucro Real,Vila Nova,5.15,0.0,36,0.0,0.1,Baixo,0,741109.8
206,4120-4,Construção de edifícios,MEI,MEI,Esplanada dos Barreiros,66.84,0.0,36,99.27,0.4,Baixo,0,2866.12
207,4921-3,Transporte rodoviário coletivo,GR,Lucro Real,Cidade Nautica,3.15,0.0,36,0.0,0.1,Baixo,0,2963872.06
208,8630-5,Atividades de atenção à saúde,ME,Simples Nacional,Glória,8.27,0.0,36,79.17,0.0,Baixo,0,43452.57
209,8512-1,Ensino fundamental,MEI,MEI,Vila São Jorge,5.28,0.0,36,96.38,0.0,Baixo,0,3908.79
210,7711-0,Locação de automóveis,EPP,Simples Nacional,Japuí,33.1,0.0,36,55.14,0.0,Baixo,0,135195.76
211,6202-3,Desenvolvimento de sistemas,EPP,Simples Nacional,Catiapoa,44.23,0.1667,15,50.93,64.9,Médio,0,45088.05
213,5310-5,Atividades dos correios,MEI,MEI,Vila Nova,4.69,0.0,33,93.64,79.4,Alto,0,2965.91
214,5611-2,Restaurantes e similares,ME,Lucro Presumido,Vila Margarida,62.59,0.0,36,85.81,0.0,Baixo,0,14499.98
215,9311-5,Academias e fitness,ME,Simples Nacional,Vila Bocaina,6.3,0.0,36,85.44,0.1,Baixo,0,25868.9
216,5611-2,Restaurantes e similares,MEI,MEI,Japuí,33.52,0.0833,36,95.4,0.1,Baixo,0,4705.2
217,8599-6,Treinamento e capacitação,ME,Simples Nacional,Japuí,6.55,0.0,36,74.68,0.0,Baixo,0,15893.66
218,8630-5,Atividades de atenção à saúde,MEI,MEI,Centro,41.28,0.0833,36,98.24,0.5,Baixo,0,3679.09
219,4330-4,Acabamentos em construção,MEI,MEI,Catiapoa,42.35,0.1667,19,97.97,98.2,Alto,1,3298.5
220,6911-7,Atividades jurídicas,EPP,Simples Nacional,Centro,5.67,0.0,36,19.19,0.0,Baixo,0,106218.42
221,5620-1,Serviços de alimentação,MEI,MEI,Cidade Nautica,71.26,0.1667,14,97.93,99.6,Alto,1,1872.24
