id_contribuinte,cnae,desc_cnae,porte,porte_num,regime_tributario,regime_num,bairro,risco_latente,gap_medio_pct,gap_std,taxa_omissao,taxa_retificacao,receita_media_12m,cv_receita,slope_receita_norm,razao_ultimo_media,meses_sem_fiscalizacao,n_acoes_historicas,n_meses_com_dados,irregularidade_confirmada,bench_receita_media,gap_vs_bench_pct
32,5620-1,Serviços de alimentação,EPP,3,Simples Nacional,2,Cidade Nautica,0,3.79,5.16,0.0,0.0,101765.26,0.1764,0.011586,1.3282,36,0,12,0,90611.88504413291,0.0
33,4921-3,Transporte rodoviário coletivo,MEI,1,MEI,1,Parque Bitaru,0,4.67,4.5,0.0,0.0,7241.26,0.1264,0.017008,1.0678,20,1,12,1,537656.9499799799,98.65
34,4771-7,Comércio farmacêutico,MEI,1,MEI,1,Centro,1,44.42,27.18,0.1667,0.0,4546.08,0.545,-0.069919,0.0,36,0,12,0,247735.04169952212,98.16
35,4771-7,Comércio farmacêutico,MEI,1,MEI,1,Ilha Porchat,2,68.54,9.53,0.0,0.0,2651.88,0.3379,-0.002003,1.2424,36,0,12,0,247735.04169952212,98.93
36,8650-0,Atividades de saúde humana,EPP,3,Simples Nacional,2,Cidade Nautica,0,6.44,5.25,0.0,0.0,139233.23,0.1563,-0.01565,0.8249,36,0,12,0,155738.17786195286,10.6
37,5310-5,Atividades dos correios,MEI,1,MEI,1,Vila Bocaina,1,34.05,9.7,0.0,0.1667,1937.41,0.2201,0.011625,0.7364,36,0,12,0,46652.40631738174,95.85
38,9602-5,Cabeleireiros e similares,EPP,3,Simples Nacional,2,Parque Bitaru,1,47.14,26.07,0.1667,0.25,24345.78,0.4945,0.077653,1.0793,36,0,12,0,34897.042119708996,30.24
39,7711-0,Locação de automóveis,EPP,3,Simples Nacional,2,Vila Margarida,0,8.09,6.47,0.0,0.0,201133.81,0.1534,0.01498,1.0228,36,0,12,0,301400.2526279957,33.27
40,7711-0,Locação de automóveis,ME,2,Lucro Presumido,3,Glória,0,12.53,27.83,0.0833,0.0833,48018.69,0.3451,-0.001504,1.017,36,0,12,0,301400.2526279957,84.07
41,4120-4,Construção de edifícios,MD,4,Lucro Presumido,3,Alto da Boa Vista,1,34.93,22.22,0.0833,0.1667,516408.27,0.3985,0.009898,1.0996,36,0,12,0,393390.15080833336,0.0
42,8599-6,Treinamento e capacitação,MEI,1,MEI,1,Cidade Nautica,0,16.19,39.35,0.1667,0.0833,2810.5,0.549,0.070596,0.979,36,0,12,0,62778.58030149052,95.52
43,8650-0,Atividades de saúde humana,MEI,1,MEI,1,Glória,0,9.1,3.7,0.0,0.0,5189.46,0.093,8e-05,1.0572,36,0,12,0,155738.17786195286,96.67
44,6920-6,Atividades contábeis,EPP,3,Lucro Presumido,3,Jardim Rio Branco,1,34.57,22.95,0.0833,0.25,58234.66,0.4116,0.033587,1.0571,36,0,12,0,93794.93164215687,37.91
45,4330-4,Acabamentos em construção,MD,4,Lucro Presumido,3,Cidade Nautica,0,3.11,5.34,0.0,0.0,499696.73,0.2251,0.021755,0.7943,15,1,12,0,162118.29751887813,0.0
46,8630-5,Atividades de atenção à saúde,MEI,1,MEI,1,Cidade Nautica,1,44.72,33.91,0.25,0.0833,3310.61,0.615,0.037551,1.0713,5,1,12,1,208588.24982142856,98.41
47,8512-1,Ensino fundamental,EPP,3,Lucro Presumido,3,Glória,0,4.79,5.43,0.0,0.0,84311.23,0.3009,0.015018,0.6609,36,0,12,0,108039.5574796748,21.96
48,5310-5,Atividades dos correios,EPP,3,Lucro Presumido,3,Vila São Jorge,0,5.33,3.88,0.0,0.0,60648.13,0.1749,0.035243,1.1521,36,0,12,0,46652.40631738174,0.0
49,8512-1,Ensino fundamental,ME,2,Lucro Presumido,3,Jardim Rio Branco,0,5.04,7.46,0.0,0.0,24867.41,0.3216,0.00172,0.7283,36,0,12,0,108039.5574796748,76.98
50,5611-2,Restaurantes e similares,MEI,1,MEI,1,Centro,0,3.26,6.19,0.0,0.0,6649.44,0.1497,0.028337,1.2818,29,1,12,1,102203.3056008454,93.49
51,6202-3,Desenvolvimento de sistemas,MEI,1,MEI,1,Ilha Porchat,1,36.32,22.14,0.0833,0.0833,2446.2,0.3536,-0.005198,0.8864,36,0,12,0,91894.10241863075,97.34
52,4330-4,Acabamentos em construção,MEI,1,MEI,1,Esplanada dos Barreiros,0,13.79,27.83,0.0833,0.0,4819.39,0.3677,0.014299,0.9514,36,0,12,0,162118.29751887813,97.03
53,4921-3,Transporte rodoviário coletivo,MD,4,Lucro Presumido,3,Alto da Boa Vista,0,4.58,5.58,0.0,0.0,752601.36,0.121,0.019576,1.0421,36,0,12,0,537656.9499799799,0.0
54,4921-3,Transporte rodoviário coletivo,ME,2,Lucro Presumido,3,Cidade Nautica,1,41.19,20.58,0.0833,0.0,31819.39,0.3798,-0.002073,0.9719,36,0,12,0,537656.9499799799,94.08
55,5611-2,Restaurantes e similares,MEI,1,MEI,1,Ilha Porchat,0,5.74,6.4,0.0,0.0,6760.07,0.1667,0.011575,0.9379,36,0,12,0,102203.3056008454,93.39
56,8630-5,Atividades de atenção à saúde,MEI,1,MEI,1,Parque Bitaru,0,6.15,6.39,0.0,0.1667,5663.2,0.1097,0.008903,1.1242,36,0,12,0,208588.24982142856,97.28
57,8630-5,Atividades de atenção à saúde,MD,4,Lucro Presumido,3,Glória,1,37.16,20.37,0.0833,0.1667,421150.88,0.3351,-0.036249,1.0798,1,1,12,0,208588.24982142856,0.0
58,6911-7,Atividades jurídicas,ME,2,Simples Nacional,2,Ilha Porchat,2,71.52,19.19,0.25,0.0833,9369.09,0.6907,-0.051828,0.0,36,0,12,0,131438.33464285714,92.87
59,7711-0,Locação de automóveis,EPP,3,Simples Nacional,2,Vila Nova,0,5.64,7.18,0.0,0.0,191384.51,0.124,0.007729,1.1659,36,0,12,0,301400.2526279957,36.5
60,5611-2,Restaurantes e similares,MD,4,Lucro Real,4,Parque Bitaru,0,7.03,5.39,0.0,0.0,447524.43,0.1492,0.014581,1.0795,21,1,12,0,102203.3056008454,0.0
61,8599-6,Treinamento e capacitação,EPP,3,Lucro Presumido,3,Vila Margarida,2,68.65,17.1,0.1667,0.0833,17548.31,0.6524,-0.014975,0.0,36,0,12,0,62778.58030149052,72.05
62,4921-3,Transporte rodoviário coletivo,MEI,1,MEI,1,Ilha Porchat,0,11.28,28.12,0.0833,0.0,6343.47,0.3336,-0.008019,1.12,36,0,12,0,537656.9499799799,98.82
65,5611-2,Restaurantes e similares,MEI,1,MEI,1,Ilha Porchat,0,4.48,3.37,0.0,0.0,6581.11,0.1585,0.01494,1.1676,36,0,12,0,102203.3056008454,93.56
67,6202-3,Desenvolvimento de sistemas,MEI,1,MEI,1,Vila São Jorge,0,3.24,5.03,0.0,0.0,3547.86,0.1633,-0.000572,0.8702,36,0,12,0,91894.10241863075,96.14
68,4921-3,Transporte rodoviário coletivo,MD,4,Lucro Presumido,3,Parque Bitaru,0,7.67,6.7,0.0,0.0,783599.9,0.1022,0.006279,0.9658,32,1,12,1,537656.9499799799,0.0
69,6920-6,Atividades contábeis,ME,2,Lucro Presumido,3,Vila Nova,1,36.55,10.07,0.0,0.25,18411.73,0.2072,-0.004736,0.8069,36,0,12,0,93794.93164215687,80.37
70,8650-0,Atividades de saúde humana,ME,2,Simples Nacional,2,Ilha Porchat,2,66.1,13.01,0.0833,0.0833,12737.77,0.3909,0.032325,0.7135,27,1,12,0,155738.17786195286,91.82
71,4921-3,Transporte rodoviário coletivo,GR,5,Lucro Real,4,Vila Nova,0,6.9,6.58,0.0,0.0833,2993006.67,0.1333,0.017927,0.8872,35,1,12,0,537656.9499799799,0.0
72,5620-1,Serviços de alimentação,ME,2,Simples Nacional,2,Japuí,0,13.2,28.2,0.0833,0.0,29489.29,0.4004,0.014918,1.1386,36,0,12,0,90611.88504413291,67.46
73,5611-2,Restaurantes e similares,MEI,1,MEI,1,Ilha Porchat,0,3.05,5.45,0.0,0.0,6945.77,0.2269,0.007789,1.2237,36,0,12,0,102203.3056008454,93.2
74,6920-6,Atividades contábeis,ME,2,Simples Nacional,2,Vila Nova,0,15.92,27.75,0.0833,0.0,24828.12,0.3489,0.023578,0.9038,17,1,12,0,93794.93164215687,73.53
75,6202-3,Desenvolvimento de sistemas,MEI,1,MEI,1,Cidade Nautica,0,13.75,27.92,0.0833,0.0,3488.31,0.3342,-0.023248,1.1548,36,0,12,0,91894.10241863075,96.2
76,5611-2,Restaurantes e similares,MD,4,Lucro Real,4,Vila Nova,0,6.21,7.02,0.0,0.0,452769.81,0.1534,0.008589,1.1836,36,0,12,0,102203.3056008454,0.0
77,6920-6,Atividades contábeis,MEI,1,MEI,1,Centro,0,5.45,4.98,0.0,0.0,4350.97,0.1436,0.020497,1.0109,5,1,12,0,93794.93164215687,95.36
78,9311-5,Academias e fitness,GR,5,Lucro Real,4,Vila Margarida,0,6.93,6.06,0.0,0.0833,971562.11,0.1099,0.01562,1.1491,36,0,12,0,177651.30473180074,0.0
79,5620-1,Serviços de alimentação,EPP,3,Simples Nacional,2,Vila Nova,1,34.52,22.44,0.0833,0.3333,69715.18,0.3719,0.037156,1.1808,28,1,12,1,90611.88504413291,23.06
80,4771-7,Comércio farmacêutico,MEI,1,MEI,1,Jardim Rio Branco,1,28.03,8.86,0.0,0.25,6100.8,0.1539,0.007696,1.0296,36,0,12,0,247735.04169952212,97.54
81,4771-7,Comércio farmacêutico,ME,2,Lucro Presumido,3,Parque Bitaru,1,29.83,8.11,0.0,0.0833,40859.15,0.0966,0.001824,0.94,36,0,12,0,247735.04169952212,83.51
82,5611-2,Restaurantes e similares,ME,2,Lucro Presumido,3,Alto da Boa Vista,0,13.83,27.83,0.0833,0.1667,31948.46,0.3595,0.004396,1.277,36,0,12,0,102203.3056008454,68.74
83,8599-6,Treinamento e capacitação,MEI,1,MEI,1,Vila Bocaina,1,33.77,23.86,0.0833,0.0833,2077.37,0.472,0.037614,0.6622,36,0,12,0,62778.58030149052,96.69
84,5611-2,Restaurantes e similares,MEI,1,MEI,1,Vila Margarida,0,3.76,6.49,0.0,0.0,6502.65,0.1703,0.009279,1.2162,36,0,12,0,102203.3056008454,93.64
85,8599-6,Treinamento e capacitação,MEI,1,MEI,1,Vila São Jorge,0,8.57,3.86,0.0,0.0,2902.07,0.3189,-0.005259,0.6902,36,0,12,0,62778.58030149052,95.38
86,8599-6,Treinamento e capacitação,EPP,3,Lucro Presumido,3,Ilha Porchat,0,10.58,28.76,0.0833,0.0,48998.44,0.4201,-0.004628,0.7512,36,0,12,0,62778.58030149052,21.95
87,8630-5,Atividades de atenção à saúde,ME,2,Simples Nacional,2,Japuí,0,10.32,28.51,0.0833,0.1667,42812.74,0.3332,-0.036866,0.9973,36,0,12,0,208588.24982142856,79.47
88,4771-7,Comércio farmacêutico,ME,2,Simples Nacional,2,Vila Bocaina,0,4.65,6.15,0.0,0.0,59731.23,0.1288,-4.1e-05,0.9013,36,0,12,0,247735.04169952212,75.89
89,4921-3,Transporte rodoviário coletivo,EPP,3,Simples Nacional,2,Vila Nova,0,4.08,5.3,0.0,0.0,217310.64,0.1109,0.016036,1.0176,36,0,12,0,537656.9499799799,59.58
90,8599-6,Treinamento e capacitação,MD,4,Lucro Real,4,Vila Nova,0,11.15,28.52,0.0833,0.0,140646.85,0.489,-0.034099,0.5948,36,0,12,0,62778.58030149052,0.0
91,5611-2,Restaurantes e similares,MEI,1,MEI,1,Cidade Nautica,0,4.74,8.73,0.0,0.0833,6748.58,0.1933,-0.003132,1.2973,36,0,12,0,102203.3056008454,93.4
92,6920-6,Atividades contábeis,MD,4,Lucro Presumido,3,Vila Bocaina,2,62.24,13.07,0.0,0.0,124372.99,0.3719,0.011034,0.6983,36,0,12,0,93794.93164215687,0.0
93,6201-5,Desenvolvimento de software,MEI,1,MEI,1,Japuí,1,43.73,27.44,0.1667,0.1667,2634.31,0.521,-0.051519,0.9956,36,0,12,0,133409.7116222222,98.03
94,8650-0,Atividades de saúde humana,EPP,3,Lucro Presumido,3,Catiapoa,0,4.43,5.71,0.0,0.0833,146938.03,0.1097,-0.001288,1.0888,36,0,12,0,155738.17786195286,5.65
95,8630-5,Atividades de atenção à saúde,ME,2,Simples Nacional,2,Japuí,0,4.17,7.09,0.0,0.0,42765.77,0.1254,-0.009305,0.8658,36,0,12,0,208588.24982142856,79.5
96,6911-7,Atividades jurídicas,MEI,1,MEI,1,Parque Bitaru,2,73.25,18.18,0.25,0.1667,1283.49,0.6759,0.065949,1.4516,36,0,12,0,131438.33464285714,99.02
97,6202-3,Desenvolvimento de sistemas,MD,4,Lucro Real,4,Ilha Porchat,1,47.7,32.85,0.25,0.0,180162.13,0.6422,0.025292,1.6608,36,0,12,0,91894.10241863075,0.0
98,9311-5,Academias e fitness,MEI,1,MEI,1,Vila São Jorge,0,7.35,7.24,0.0,0.0,4614.77,0.1651,-0.001243,0.821,36,0,12,0,177651.30473180074,97.4
99,8511-2,Educação infantil,EPP,3,Lucro Presumido,3,Esplanada dos Barreiros,2,74.1,15.26,0.1667,0.0,19696.03,0.6477,-0.014176,0.9157,36,0,12,0,90225.06081632653,78.17
100,8599-6,Treinamento e capacitação,MD,4,Lucro Real,4,Cidade Nautica,1,36.77,22.0,0.0833,0.1667,117891.46,0.4544,0.014665,0.7976,36,1,12,1,62778.58030149052,0.0
101,7490-1,Consultoria empresarial,ME,2,Lucro Presumido,3,Esplanada dos Barreiros,0,5.29,6.01,0.0,0.0833,23600.46,0.1568,0.01782,1.1067,9,1,12,1,92713.56658625731,74.54
102,6911-7,Atividades jurídicas,MEI,1,MEI,1,Catiapoa,2,67.2,12.86,0.0833,0.0,1678.23,0.3892,-0.012579,1.5139,36,0,12,0,131438.33464285714,98.72
103,7711-0,Locação de automóveis,ME,2,Simples Nacional,2,Japuí,0,4.17,4.89,0.0,0.0,51104.3,0.1317,0.004794,0.8802,36,0,12,0,301400.2526279957,83.04
104,4330-4,Acabamentos em construção,MEI,1,MEI,1,Glória,1,33.34,23.27,0.0833,0.25,3793.65,0.4499,-0.004396,0.0,36,0,12,0,162118.29751887813,97.66
105,4921-3,Transporte rodoviário coletivo,MEI,1,MEI,1,Ilha Porchat,0,3.55,10.9,0.0,0.0,7390.07,0.1402,-0.005969,0.8991,36,0,12,0,537656.9499799799,98.63
106,4771-7,Comércio farmacêutico,ME,2,Simples Nacional,2,Ilha Porchat,1,28.37,9.45,0.0,0.0,44509.41,0.1844,0.021776,0.9673,36,0,12,0,247735.04169952212,82.03
107,7490-1,Consultoria empresarial,EPP,3,Lucro Presumido,3,Catiapoa,0,3.59,6.21,0.0,0.0,90305.66,0.1522,0.00841,1.0588,36,0,12,0,92713.56658625731,2.6
108,7490-1,Consultoria empresarial,EPP,3,Simples Nacional,2,Cidade Nautica,0,13.22,28.12,0.0833,0.0,77972.72,0.3403,0.02881,1.1184,36,0,12,0,92713.56658625731,15.9
109,4921-3,Transporte rodoviário coletivo,MEI,1,MEI,1,Vila Margarida,1,29.73,9.5,0.0,0.0,5217.19,0.1154,-0.004717,1.0439,36,0,12,0,537656.9499799799,99.03
111,7711-0,Locação de automóveis,EPP,3,Lucro Presumido,3,Cidade Nautica,0,3.76,4.4,0.0,0.0,199412.48,0.1482,0.014577,1.0264,36,0,12,0,301400.2526279957,33.84
112,5620-1,Serviços de alimentação,MEI,1,MEI,1,Jardim Rio Branco,0,6.34,4.11,0.0,0.0,5856.82,0.2012,0.019219,1.3158,27,1,12,0,90611.88504413291,93.54
113,4771-7,Comércio farmacêutico,MEI,1,MEI,1,Ilha Porchat,0,13.54,27.83,0.0833,0.0,6571.74,0.3367,0.049254,1.2773,36,0,12,0,247735.04169952212,97.35
114,7711-0,Locação de automóveis,GR,5,Lucro Real,4,Porto Grande,0,5.94,5.93,0.0,0.0833,2663763.41,0.1047,0.00673,0.9722,36,0,12,0,301400.2526279957,0.0
116,6920-6,Atividades contábeis,EPP,3,Lucro Presumido,3,Cidade Nautica,0,4.18,4.9,0.0,0.0833,82647.07,0.2209,0.033986,0.9749,22,1,12,0,93794.93164215687,11.89
117,6920-6,Atividades contábeis,ME,2,Lucro Presumido,3,Vila Bocaina,0,8.84,6.82,0.0,0.0833,27313.39,0.0772,0.00755,1.029,36,0,12,0,93794.93164215687,70.88
118,6911-7,Atividades jurídicas,MEI,1,MEI,1,Catiapoa,1,41.04,28.5,0.1667,0.1667,3073.12,0.5024,0.036668,1.2993,36,0,12,0,131438.33464285714,97.66
119,8650-0,Atividades de saúde humana,MEI,1,MEI,1,Catiapoa,0,5.91,5.13,0.0,0.0,5358.01,0.1176,0.009636,0.9812,36,0,12,0,155738.17786195286,96.56
120,8650-0,Atividades de saúde humana,ME,2,Simples Nacional,2,Jardim Rio Branco,0,5.83,6.16,0.0,0.0,36963.66,0.144,0.012971,1.0099,36,0,12,0,155738.17786195286,76.27
121,8511-2,Educação infantil,MD,4,Lucro Presumido,3,Alto da Boa Vista,2,66.29,13.64,0.0833,0.25,81719.73,0.5306,-0.011721,0.7005,0,1,12,1,90225.06081632653,9.43
122,8511-2,Educação infantil,MD,4,Lucro Real,4,Vila Nova,0,5.81,4.58,0.0,0.0,236265.04,0.34,0.004147,0.5309,36,0,12,0,90225.06081632653,0.0
123,5620-1,Serviços de alimentação,MEI,1,MEI,1,Vila São Jorge,2,65.47,17.89,0.1667,0.0833,2126.75,0.5411,0.037017,1.3894,36,0,12,0,90611.88504413291,97.65
124,4771-7,Comércio farmacêutico,ME,2,Simples Nacional,2,Alto da Boa Vista,2,70.49,13.88,0.0833,0.0,19304.99,0.5338,-0.025063,0.9357,22,1,12,1,247735.04169952212,92.21
125,4120-4,Construção de edifícios,GR,5,Lucro Real,4,Alto da Boa Vista,2,73.24,15.14,0.1667,0.1667,1012564.98,0.6081,0.067982,1.1114,22,1,12,1,393390.15080833336,0.0
126,9602-5,Cabeleireiros e similares,MEI,1,MEI,1,Parque Bitaru,0,4.98,3.01,0.0,0.0833,3246.43,0.1611,0.002837,0.8806,36,0,12,0,34897.042119708996,90.7
127,4330-4,Acabamentos em construção,MD,4,Lucro Real,4,Vila Margarida,0,4.62,5.21,0.0,0.0,452743.35,0.2034,0.025111,0.8523,36,0,12,0,162118.29751887813,0.0
128,9311-5,Academias e fitness,MEI,1,MEI,1,Catiapoa,0,10.98,28.44,0.0833,0.0,4212.8,0.3343,0.045642,1.3,36,0,12,0,177651.30473180074,97.63
129,4120-4,Construção de edifícios,MD,4,Lucro Real,4,Centro,1,38.48,20.89,0.0833,0.1667,534829.07,0.3487,-0.020816,0.0,2,1,12,0,393390.15080833336,0.0
130,7711-0,Locação de automóveis,ME,2,Lucro Presumido,3,Centro,0,8.49,3.69,0.0,0.0,48945.43,0.1494,0.022402,0.8884,36,0,12,0,301400.2526279957,83.76
132,6202-3,Desenvolvimento de sistemas,MEI,1,MEI,1,Jardim Rio Branco,0,11.62,28.22,0.0833,0.0833,3441.29,0.3488,-0.028086,1.3016,36,0,12,0,91894.10241863075,96.26
133,4921-3,Transporte rodoviário coletivo,MD,4,Lucro Real,4,Alto da Boa Vista,1,34.13,8.56,0.0,0.0,529329.12,0.1704,0.021329,1.1103,36,0,12,0,537656.9499799799,1.55
134,9311-5,Academias e fitness,EPP,3,Lucro Presumido,3,Glória,1,30.66,9.63,0.0,0.0833,67344.94,0.1712,0.017585,1.1967,36,0,12,0,177651.30473180074,62.09
135,4921-3,Transporte rodoviário coletivo,ME,2,Lucro Presumido,3,Japuí,0,4.25,3.89,0.0,0.0,54111.55,0.134,0.009119,0.8079,36,0,12,0,537656.9499799799,89.94
136,4921-3,Transporte rodoviário coletivo,EPP,3,Lucro Presumido,3,Ilha Porchat,1,34.07,22.55,0.0833,0.3333,146989.83,0.3509,0.041827,1.0315,16,1,12,0,537656.9499799799,72.66
137,6911-7,Atividades jurídicas,MD,4,Lucro Real,4,Vila Nova,2,61.41,9.94,0.0,0.0833,160910.27,0.2814,0.003285,0.6592,36,0,12,0,131438.33464285714,0.0
139,7490-1,Consultoria empresarial,EPP,3,Lucro Presumido,3,Porto Grande,1,34.76,22.39,0.0833,0.0833,58944.59,0.3441,-0.005656,1.0851,36,0,12,0,92713.56658625731,36.42
140,4330-4,Acabamentos em construção,EPP,3,Simples Nacional,2,Centro,1,56.37,32.88,0.3333,0.1667,60084.23,0.8038,0.055186,0.0,36,0,12,0,162118.29751887813,62.94
141,5620-1,Serviços de alimentação,MD,4,Lucro Real,4,Vila Nova,0,10.84,29.06,0.0833,0.0,349258.63,0.3481,-0.02001,1.1495,36,0,12,0,90611.88504413291,0.0
142,5620-1,Serviços de alimentação,ME,2,Lucro Presumido,3,Porto Grande,0,14.02,27.81,0.0833,0.0,26321.97,0.3431,-0.046845,0.0,36,0,12,0,90611.88504413291,70.95
143,6911-7,Atividades jurídicas,ME,2,Lucro Presumido,3,Parque Bitaru,0,5.33,3.84,0.0,0.0833,29466.66,0.1389,0.008775,1.187,36,0,12,0,131438.33464285714,77.58
144,5620-1,Serviços de alimentação,ME,2,Simples Nacional,2,Jardim Rio Branco,0,4.62,5.98,0.0,0.0,31120.24,0.1859,0.025731,1.2969,36,0,12,0,90611.88504413291,65.66
146,6920-6,Atividades contábeis,MEI,1,MEI,1,Centro,0,5.76,4.0,0.0,0.0,4222.94,0.1495,0.010465,0.9574,36,0,12,0,93794.93164215687,95.5
